Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,AXISBANK,EQ,777.0,772.9,777.2,741.35,750.6,749.65,761.1,15634787,11899615677.35,237598,5213024,33.34, 
18-Feb-2021,AXISBANK,EQ,777.75,775.0,782.0,764.0,775.9,777.0,774.1,19685663,15238630654.8,213912,9489649,48.21, 
17-Feb-2021,AXISBANK,EQ,775.05,774.0,785.0,764.3,775.5,777.75,776.04,16956357,13158894709.05,213111,4743230,27.97, 
16-Feb-2021,AXISBANK,EQ,794.0,799.0,799.0,767.0,776.55,775.05,779.33,23968943,18679632179.65,469034,10646124,44.42, 
15-Feb-2021,AXISBANK,EQ,750.4,759.9,799.0,753.9,797.0,794.0,777.14,20648115,16046533454.75,305990,5300873,25.67, 
12-Feb-2021,AXISBANK,EQ,740.1,735.5,754.7,734.55,749.9,750.4,746.92,15668442,11703070189.85,208754,4884471,31.17, 
11-Feb-2021,AXISBANK,EQ,734.8,731.0,744.15,731.0,740.55,740.1,738.91,11897710,8791308260.75,179789,4355727,36.61, 
10-Feb-2021,AXISBANK,EQ,742.5,741.55,746.4,726.1,737.0,734.8,733.3,15140744,11102710404.15,218238,6113880,40.38, 
09-Feb-2021,AXISBANK,EQ,736.15,735.75,750.0,726.2,740.0,742.5,740.18,22307807,16511879845.75,214724,10969040,49.17, 
08-Feb-2021,AXISBANK,EQ,719.6,726.0,747.8,726.0,735.75,736.15,739.35,15662890,11580313302.6,279438,4963408,31.69, 
05-Feb-2021,AXISBANK,EQ,743.9,749.0,766.3,717.0,722.65,719.6,741.96,31121503,23091053159.85,381780,8725102,28.04, 
04-Feb-2021,AXISBANK,EQ,733.8,730.0,745.5,720.6,743.6,743.9,734.67,20490289,15053511744.55,451426,7809178,38.11, 
03-Feb-2021,AXISBANK,EQ,714.2,720.0,736.8,715.55,731.3,733.8,729.55,23541361,17174646770.05,367908,10647564,45.23, 
02-Feb-2021,AXISBANK,EQ,709.35,719.25,744.95,704.2,718.5,714.2,722.7,28703320,20743799698.15,336082,8276420,28.83, 
01-Feb-2021,AXISBANK,EQ,662.9,665.0,717.0,654.35,714.0,709.35,686.12,30648270,21028286417.85,420444,10100954,32.96, 
29-Jan-2021,AXISBANK,EQ,670.7,671.0,675.85,653.0,666.45,662.9,663.09,31273252,20737032240.1,350863,11654415,37.27, 
28-Jan-2021,AXISBANK,EQ,632.1,622.0,674.7,616.0,667.1,670.7,651.91,64303975,41920707655.45,573501,18643969,28.99, 
27-Jan-2021,AXISBANK,EQ,658.4,659.95,663.8,627.4,633.55,632.1,641.63,24462588,15695921081.7,374828,9563705,39.1, 
25-Jan-2021,AXISBANK,EQ,644.5,654.0,668.0,639.35,658.0,658.4,659.39,21325345,14061700824.65,236342,7472590,35.04, 
22-Jan-2021,AXISBANK,EQ,675.85,670.0,673.9,638.8,645.55,644.5,650.47,21392223,13915078756.15,312423,8001295,37.4, 
