Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,BAJAJ-AUTO,EQ,4115.45,4106.0,4106.7,3977.2,4002.0,4001.1,4016.65,762200,3061488168.5,53406,241661,31.71, 
18-Feb-2021,BAJAJ-AUTO,EQ,4165.7,4200.0,4200.0,4102.1,4106.0,4115.45,4149.64,440460,1827750339.25,43567,135857,30.84, 
17-Feb-2021,BAJAJ-AUTO,EQ,4132.85,4117.0,4205.0,4111.0,4156.35,4165.7,4162.24,554383,2307475584.95,34340,101475,18.3, 
16-Feb-2021,BAJAJ-AUTO,EQ,4122.3,4130.0,4177.6,4124.0,4143.75,4132.85,4146.38,318280,1319709644.05,25570,44415,13.95, 
15-Feb-2021,BAJAJ-AUTO,EQ,4136.05,4152.2,4194.65,4111.65,4129.0,4122.3,4150.95,287922,1195150758.95,20745,39746,13.8, 
12-Feb-2021,BAJAJ-AUTO,EQ,4181.9,4179.0,4195.8,4117.0,4139.0,4136.05,4150.66,360063,1494498083.9,26355,81360,22.6, 
11-Feb-2021,BAJAJ-AUTO,EQ,4151.55,4155.0,4202.4,4126.45,4179.8,4181.9,4178.8,546983,2285733251.85,31317,195478,35.74, 
10-Feb-2021,BAJAJ-AUTO,EQ,4154.9,4160.0,4215.0,4100.1,4154.0,4151.55,4140.97,989105,4095855293.15,62050,226727,22.92, 
09-Feb-2021,BAJAJ-AUTO,EQ,4237.45,4228.4,4238.0,4145.0,4160.0,4154.9,4188.69,721336,3021454801.85,44863,256116,35.51, 
08-Feb-2021,BAJAJ-AUTO,EQ,4231.25,4231.45,4258.5,4195.0,4228.4,4237.45,4227.75,616236,2605292454.75,56538,107438,17.43, 
05-Feb-2021,BAJAJ-AUTO,EQ,4223.5,4260.0,4272.8,4161.0,4220.15,4231.25,4219.38,729191,3076731213.45,51831,136850,18.77, 
04-Feb-2021,BAJAJ-AUTO,EQ,4236.35,4236.35,4361.4,4200.0,4234.8,4223.5,4260.5,1163598,4957507320.05,80560,271337,23.32, 
03-Feb-2021,BAJAJ-AUTO,EQ,4201.45,4205.0,4259.15,4160.1,4236.0,4236.35,4226.67,681937,2882319591.8,54003,126182,18.5, 
02-Feb-2021,BAJAJ-AUTO,EQ,4114.7,4155.8,4271.15,4117.25,4205.0,4201.45,4192.41,1167922,4896411547.05,77031,281144,24.07, 
01-Feb-2021,BAJAJ-AUTO,EQ,4005.8,4064.0,4141.0,3975.05,4134.0,4114.7,4062.37,745011,3026509211.05,52946,117784,15.81, 
29-Jan-2021,BAJAJ-AUTO,EQ,4135.8,4168.0,4205.35,3990.0,4023.0,4005.8,4096.45,1406268,5760706271.85,82243,293774,20.89, 
28-Jan-2021,BAJAJ-AUTO,EQ,4146.35,4080.0,4190.0,4076.6,4150.0,4135.8,4150.61,1262871,5241684012.7,69278,283560,22.45, 
27-Jan-2021,BAJAJ-AUTO,EQ,4168.95,4133.4,4236.65,4108.1,4130.0,4146.35,4178.57,2062088,8616570910.55,116044,374360,18.15, 
25-Jan-2021,BAJAJ-AUTO,EQ,4089.5,4150.0,4210.0,4060.0,4165.0,4168.95,4143.63,2368224,9813036230.45,138219,329430,13.91, 
22-Jan-2021,BAJAJ-AUTO,EQ,3703.3,3749.95,4130.0,3740.05,4119.25,4089.5,4025.43,8537143,34365651303.05,398043,623217,7.3, 
