Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,BAJAJFINSV,EQ,10198.95,10150.0,10427.65,10140.0,10237.95,10250.45,10247.84,623343,6387922119.35,52771,91996,14.76, 
18-Feb-2021,BAJAJFINSV,EQ,10185.65,10310.0,10310.0,10135.0,10200.0,10198.95,10195.83,434741,4432545757.0,48601,121320,27.91, 
17-Feb-2021,BAJAJFINSV,EQ,10460.6,10420.0,10498.8,10112.2,10195.0,10185.65,10260.6,582259,5974324936.55,57424,136169,23.39, 
16-Feb-2021,BAJAJFINSV,EQ,10537.7,10500.0,10532.0,10361.0,10460.0,10460.6,10444.86,358604,3745569816.7,34451,30458,8.49, 
15-Feb-2021,BAJAJFINSV,EQ,10278.8,10330.2,10579.0,10280.0,10500.0,10537.7,10486.75,536406,5625157441.1,50301,69675,12.99, 
12-Feb-2021,BAJAJFINSV,EQ,10216.65,10250.0,10331.15,10168.0,10300.0,10278.8,10236.92,380285,3892947648.4,38095,50942,13.4, 
11-Feb-2021,BAJAJFINSV,EQ,10227.95,10105.0,10417.9,10105.0,10220.05,10216.65,10275.38,715538,7352428354.25,58617,74057,10.35, 
10-Feb-2021,BAJAJFINSV,EQ,9941.65,9901.0,10354.6,9901.0,10215.15,10227.95,10205.7,1430667,14600961005.6,145592,107999,7.55, 
09-Feb-2021,BAJAJFINSV,EQ,10021.05,10067.0,10068.0,9882.0,9918.0,9941.65,9964.07,512607,5107652284.25,61486,57478,11.21, 
08-Feb-2021,BAJAJFINSV,EQ,9722.2,9750.0,10110.0,9738.05,10068.45,10021.05,9971.57,985855,9830522550.05,109921,188933,19.16, 
05-Feb-2021,BAJAJFINSV,EQ,9700.55,9780.0,9940.0,9556.0,9705.0,9722.2,9738.97,922561,8984790613.45,82958,139894,15.16, 
04-Feb-2021,BAJAJFINSV,EQ,9536.05,9510.0,9760.0,9470.5,9708.0,9700.55,9643.02,604727,5831395657.95,71531,62948,10.41, 
03-Feb-2021,BAJAJFINSV,EQ,9476.3,9561.6,9639.3,9435.35,9555.0,9536.05,9512.18,623545,5931271603.9,55559,51906,8.32, 
02-Feb-2021,BAJAJFINSV,EQ,9721.8,9827.7,9990.0,9315.0,9505.0,9476.3,9613.89,1394390,13405505925.0,135676,163563,11.73, 
01-Feb-2021,BAJAJFINSV,EQ,8722.75,8750.0,9838.9,8638.0,9740.0,9721.8,9296.79,1565365,14552862242.0,144130,252052,16.1, 
29-Jan-2021,BAJAJFINSV,EQ,8955.3,9041.95,9109.35,8675.55,8718.6,8722.75,8932.07,727352,6496762466.45,69955,152688,20.99, 
28-Jan-2021,BAJAJFINSV,EQ,9126.1,9020.0,9215.25,8817.6,8932.0,8955.3,9000.96,844736,7603433362.0,80479,145264,17.2, 
27-Jan-2021,BAJAJFINSV,EQ,9198.9,9165.0,9284.95,9042.05,9099.2,9126.1,9160.23,616631,5648481903.9,68285,102618,16.64, 
25-Jan-2021,BAJAJFINSV,EQ,9071.0,9144.0,9344.9,9080.0,9190.0,9198.9,9216.03,781122,7198845470.8,77012,152519,19.53, 
22-Jan-2021,BAJAJFINSV,EQ,9052.8,9070.0,9213.5,8965.2,9053.0,9071.0,9086.37,839822,7630931143.7,76812,152258,18.13, 
21-Jan-2021,BAJAJFINSV,EQ,8938.25,8995.0,9388.85,8950.5,9063.0,9052.8,9241.6,1645377,15205922205.9,142622,216816,13.18, 
20-Jan-2021,BAJAJFINSV,EQ,8924.15,8938.0,9025.0,8838.0,8934.9,8938.25,8950.74,786496,7039725045.9,72645,144727,18.4, 
19-Jan-2021,BAJAJFINSV,EQ,8354.6,8400.0,8978.0,8400.0,8919.0,8924.15,8787.14,1379718,12123777808.15,105784,141511,10.26, 
18-Jan-2021,BAJAJFINSV,EQ,8636.1,8636.1,8636.1,8273.7,8350.95,8354.6,8395.89,634436,5326655333.15,68153,108772,17.14, 
15-Jan-2021,BAJAJFINSV,EQ,8747.35,8754.8,8826.2,8610.0,8630.0,8636.1,8703.75,519651,4522914238.9,52056,92839,17.87, 
14-Jan-2021,BAJAJFINSV,EQ,8793.65,8814.0,8929.95,8675.0,8761.0,8747.35,8779.24,568437,4990445529.15,61345,79769,14.03, 
13-Jan-2021,BAJAJFINSV,EQ,8959.0,9004.8,9030.0,8710.15,8784.65,8793.65,8856.1,514078,4552726742.25,47300,92336,17.96, 
12-Jan-2021,BAJAJFINSV,EQ,8986.1,9004.0,9069.9,8922.5,8950.0,8959.0,8988.27,577045,5186636464.6,46888,126917,21.99, 
11-Jan-2021,BAJAJFINSV,EQ,9171.6,9201.0,9262.0,8955.0,9004.0,8986.1,9068.29,542444,4919041222.0,48441,79462,14.65, 
08-Jan-2021,BAJAJFINSV,EQ,8988.0,9036.0,9265.0,8948.0,9166.0,9171.6,9145.89,824261,7538600104.7,68802,228034,27.67, 
07-Jan-2021,BAJAJFINSV,EQ,8786.35,8820.0,9069.0,8812.0,8970.05,8988.0,8958.0,601648,5389563901.65,54053,105437,17.52, 
06-Jan-2021,BAJAJFINSV,EQ,8820.85,8900.0,8900.0,8636.0,8774.95,8786.35,8749.16,599193,5242437179.5,60429,143186,23.9, 
05-Jan-2021,BAJAJFINSV,EQ,8898.75,8900.05,8920.0,8736.95,8833.5,8820.85,8816.62,486214,4286764893.9,50203,103123,21.21, 
04-Jan-2021,BAJAJFINSV,EQ,8870.45,8940.0,9065.0,8841.75,8915.0,8898.75,8927.99,613306,5475591985.6,49888,90746,14.8, 
01-Jan-2021,BAJAJFINSV,EQ,8906.35,8930.0,8958.7,8840.0,8870.2,8870.45,8900.4,288101,2564215465.2,23360,59708,20.72, 
31-Dec-2020,BAJAJFINSV,EQ,8961.7,8949.0,9030.0,8840.0,8885.4,8906.35,8930.62,476050,4251420019.05,39943,120692,25.35, 
30-Dec-2020,BAJAJFINSV,EQ,8976.05,9000.0,9020.95,8921.0,8954.0,8961.7,8971.45,491074,4405647097.65,42488,117083,23.84, 
29-Dec-2020,BAJAJFINSV,EQ,8995.05,9040.1,9056.1,8897.45,8980.0,8976.05,8978.21,406601,3650551162.6,38836,58559,14.4, 
28-Dec-2020,BAJAJFINSV,EQ,8992.55,9064.65,9115.0,8965.0,8986.7,8995.05,9035.67,344994,3117250457.9,36833,62148,18.01, 
24-Dec-2020,BAJAJFINSV,EQ,9013.25,9083.6,9123.95,8964.1,8985.4,8992.55,9028.01,498397,4499530937.6,46597,97864,19.64, 
23-Dec-2020,BAJAJFINSV,EQ,8938.85,8900.0,9140.0,8880.0,9006.1,9013.25,9029.22,575454,5195901412.15,51139,116450,20.24, 
22-Dec-2020,BAJAJFINSV,EQ,8846.75,8850.0,8963.8,8621.2,8920.0,8938.85,8800.83,783296,6893652466.6,78365,85198,10.88, 
21-Dec-2020,BAJAJFINSV,EQ,9215.6,9189.0,9245.0,8569.65,8795.0,8846.75,9006.53,713285,6424221745.1,68185,82136,11.52, 
18-Dec-2020,BAJAJFINSV,EQ,9294.1,9249.9,9315.0,9125.0,9216.8,9215.6,9218.66,480333,4428024522.15,47619,66484,13.84, 
17-Dec-2020,BAJAJFINSV,EQ,9257.7,9257.7,9399.9,9208.0,9281.0,9294.1,9308.28,550738,5126425024.35,50357,52926,9.61, 
16-Dec-2020,BAJAJFINSV,EQ,9296.95,9369.6,9450.0,9212.0,9250.0,9257.7,9326.68,761170,7099191525.65,59184,84109,11.05, 
15-Dec-2020,BAJAJFINSV,EQ,8933.5,8925.0,9338.9,8870.0,9307.0,9296.95,9141.29,1124527,10279627140.85,90858,179015,15.92, 
