Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
03-Dec-2020,DBREALTY,EQ,16.95,17.75,17.75,17.75,17.75,17.75,17.75,218408,3876742.0,283,218408,100.0, 
02-Dec-2020,DBREALTY,EQ,15.45,16.95,16.95,16.95,16.95,16.95,16.95,102296,1733917.2,241,102296,100.0, 
01-Dec-2020,DBREALTY,EQ,14.05,15.45,15.45,15.45,15.45,15.45,15.45,276380,4270071.0,302,276380,100.0, 
27-Nov-2020,DBREALTY,EQ,12.8,14.05,14.05,14.05,14.05,14.05,14.05,298722,4197044.1,338,298722,100.0, 
26-Nov-2020,DBREALTY,EQ,10.7,12.0,12.8,11.5,12.8,12.8,12.48,832008,10386036.3,1083,619054,74.4, 
25-Nov-2020,DBREALTY,EQ,8.95,9.95,10.7,9.5,10.7,10.7,10.55,3717267,39200918.7,4157,2003920,53.91, 
24-Nov-2020,DBREALTY,EQ,7.85,7.95,9.3,7.7,8.8,8.95,8.39,2081866,17457564.95,2889,1157415,55.6, 
23-Nov-2020,DBREALTY,EQ,7.75,7.95,8.0,7.65,7.8,7.85,7.8,553056,4315289.2,937,390758,70.65, 
20-Nov-2020,DBREALTY,EQ,7.6,7.65,7.95,7.65,7.75,7.75,7.8,707934,5519756.45,875,464983,65.68, 
19-Nov-2020,DBREALTY,EQ,7.65,7.75,8.3,7.4,7.65,7.6,7.81,1438846,11242476.95,2244,704770,48.98, 
18-Nov-2020,DBREALTY,EQ,8.3,8.35,8.6,7.5,7.7,7.65,7.81,1454357,11351624.8,3097,866487,59.58, 
17-Nov-2020,DBREALTY,EQ,6.95,6.8,8.3,6.8,8.3,8.3,7.92,2163621,17125147.7,2707,1506326,69.62, 
14-Nov-2020,DBREALTY,EQ,6.7,6.75,7.1,6.75,7.1,6.95,6.89,91116,628017.35,423,79587,87.35, 
13-Nov-2020,DBREALTY,EQ,6.65,6.7,6.75,6.65,6.7,6.7,6.67,124717,832403.45,355,62814,50.37, 
12-Nov-2020,DBREALTY,EQ,6.7,6.7,6.75,6.6,6.7,6.65,6.67,111664,744895.3,325,72241,64.69, 
11-Nov-2020,DBREALTY,EQ,6.65,6.7,6.75,6.6,6.65,6.7,6.66,129723,863745.05,344,85058,65.57, 
10-Nov-2020,DBREALTY,EQ,6.65,6.8,6.8,6.6,6.6,6.65,6.68,161813,1080374.75,407,95185,58.82, 
09-Nov-2020,DBREALTY,EQ,6.85,6.85,6.9,6.6,6.65,6.65,6.72,196673,1320827.55,513,150094,76.32, 
06-Nov-2020,DBREALTY,EQ,6.75,6.8,6.9,6.7,6.85,6.85,6.79,172426,1170718.7,408,112590,65.3, 
05-Nov-2020,DBREALTY,EQ,6.7,6.7,6.85,6.6,6.75,6.75,6.75,104846,707635.35,379,77984,74.38, 
04-Nov-2020,DBREALTY,EQ,6.55,6.65,7.0,6.6,6.75,6.7,6.73,117149,788000.4,339,63800,54.46, 
03-Nov-2020,DBREALTY,EQ,6.65,6.55,6.75,6.55,6.55,6.55,6.6,141601,934527.5,349,99483,70.26, 
02-Nov-2020,DBREALTY,EQ,6.75,6.95,6.95,6.55,6.6,6.65,6.71,87803,588914.9,463,49417,56.28, 
30-Oct-2020,DBREALTY,EQ,6.8,6.8,6.85,6.45,6.75,6.75,6.69,185231,1239535.5,499,104408,56.37, 
29-Oct-2020,DBREALTY,EQ,6.85,6.9,7.2,6.4,6.7,6.8,6.85,274913,1883980.8,594,164577,59.87, 
28-Oct-2020,DBREALTY,EQ,6.7,6.75,7.0,6.55,6.75,6.85,6.76,249672,1687155.55,496,175692,70.37, 
27-Oct-2020,DBREALTY,EQ,6.7,6.75,6.75,6.55,6.65,6.7,6.69,180312,1206423.35,451,128861,71.47, 
26-Oct-2020,DBREALTY,EQ,6.9,7.1,7.15,6.6,6.75,6.7,6.76,215550,1457974.25,781,168107,77.99, 
23-Oct-2020,DBREALTY,EQ,6.95,6.75,7.3,6.75,7.0,6.9,6.97,459840,3206681.45,943,172199,37.45, 
22-Oct-2020,DBREALTY,EQ,7.1,7.25,7.25,6.6,6.95,6.95,7.0,174637,1221675.8,710,104900,60.07, 
21-Oct-2020,DBREALTY,EQ,7.3,7.45,7.45,6.9,7.2,7.1,7.18,299015,2147903.75,772,209427,70.04, 
20-Oct-2020,DBREALTY,EQ,7.2,7.45,7.6,7.05,7.35,7.3,7.29,636326,4639534.35,1361,328340,51.6, 
19-Oct-2020,DBREALTY,EQ,6.5,7.1,7.35,6.7,7.25,7.2,7.06,740601,5226192.45,1773,520771,70.32, 
16-Oct-2020,DBREALTY,EQ,6.55,6.55,6.75,6.1,6.6,6.5,6.5,160629,1044001.35,480,66579,41.45, 
15-Oct-2020,DBREALTY,EQ,6.35,6.4,7.6,6.35,6.55,6.55,6.82,320904,2188373.25,817,145375,45.3, 
14-Oct-2020,DBREALTY,EQ,6.4,6.4,6.5,6.2,6.45,6.35,6.35,111295,706833.35,2610,60295,54.18, 
13-Oct-2020,DBREALTY,EQ,6.55,6.55,6.6,6.3,6.4,6.4,6.44,129829,835982.9,248,114578,88.25, 
12-Oct-2020,DBREALTY,EQ,6.7,6.7,6.75,6.5,6.5,6.55,6.61,137684,910169.35,407,109594,79.6, 
09-Oct-2020,DBREALTY,EQ,6.75,6.9,6.9,6.6,6.65,6.7,6.71,80848,542662.45,267,42998,53.18, 
08-Oct-2020,DBREALTY,EQ,6.5,6.55,6.85,6.55,6.75,6.75,6.72,172127,1157470.95,405,84540,49.11, 
07-Oct-2020,DBREALTY,EQ,6.65,6.65,6.7,6.45,6.6,6.5,6.53,140627,918136.25,351,84704,60.23, 
06-Oct-2020,DBREALTY,EQ,6.65,6.65,7.05,6.55,6.65,6.65,6.77,289145,1956522.25,523,107667,37.24, 
05-Oct-2020,DBREALTY,EQ,6.6,6.8,6.8,6.5,6.65,6.65,6.71,212717,1427123.7,530,152381,71.64, 
01-Oct-2020,DBREALTY,EQ,6.55,6.6,6.65,6.45,6.6,6.6,6.55,68842,450965.2,291,52745,76.62, 
30-Sep-2020,DBREALTY,EQ,6.65,6.7,6.7,6.45,6.55,6.55,6.6,87439,576935.35,278,42866,49.02, 
29-Sep-2020,DBREALTY,EQ,6.75,6.75,6.75,6.2,6.7,6.65,6.63,131915,874257.2,348,88960,67.44, 
28-Sep-2020,DBREALTY,EQ,6.65,6.8,6.9,6.65,6.65,6.75,6.76,160280,1084229.3,483,83602,52.16, 
25-Sep-2020,DBREALTY,EQ,6.4,6.15,6.75,6.15,6.7,6.65,6.47,104081,673483.15,400,65702,63.13, 
24-Sep-2020,DBREALTY,EQ,6.65,6.65,6.65,6.35,6.45,6.4,6.43,115815,744960.0,380,82245,71.01, 
23-Sep-2020,DBREALTY,EQ,6.7,6.75,6.75,6.55,6.6,6.65,6.64,103551,687937.55,331,69754,67.36, 
22-Sep-2020,DBREALTY,EQ,6.6,6.8,6.9,6.4,6.75,6.7,6.67,209734,1399128.1,609,155141,73.97, 
21-Sep-2020,DBREALTY,EQ,6.8,7.0,7.0,6.55,6.65,6.6,6.72,99107,665909.25,391,73448,74.11, 
18-Sep-2020,DBREALTY,EQ,6.75,6.75,6.85,6.75,6.8,6.8,6.79,99003,671886.7,271,86120,86.99, 
17-Sep-2020,DBREALTY,EQ,6.8,6.8,6.95,6.65,6.75,6.75,6.82,117514,801536.3,347,73439,62.49, 
16-Sep-2020,DBREALTY,EQ,6.95,7.05,7.05,6.8,6.8,6.8,6.88,169887,1169426.55,365,107981,63.56, 
15-Sep-2020,DBREALTY,EQ,6.95,7.15,7.15,6.9,6.95,6.95,7.04,120367,847192.25,386,80190,66.62, 
14-Sep-2020,DBREALTY,EQ,6.85,6.85,7.05,6.85,6.9,6.95,6.98,163156,1139301.7,467,120058,73.58, 
11-Sep-2020,DBREALTY,EQ,6.8,6.9,6.9,6.75,6.85,6.85,6.83,73958,504992.6,265,51185,69.21, 
10-Sep-2020,DBREALTY,EQ,6.75,6.75,6.9,6.75,6.8,6.8,6.81,199118,1356890.3,460,122206,61.37, 
09-Sep-2020,DBREALTY,EQ,6.8,6.45,7.1,6.45,6.85,6.75,6.67,287223,1915583.0,580,150761,52.49, 
08-Sep-2020,DBREALTY,EQ,6.9,6.95,6.95,6.75,6.8,6.8,6.8,201853,1371985.05,529,143143,70.91, 
07-Sep-2020,DBREALTY,EQ,7.0,6.95,7.05,6.8,6.9,6.9,6.87,271559,1866580.65,617,165823,61.06, 
04-Sep-2020,DBREALTY,EQ,7.0,7.0,7.1,6.65,6.95,7.0,6.98,144965,1011361.35,411,106580,73.52, 
03-Sep-2020,DBREALTY,EQ,7.0,7.0,7.1,6.95,7.05,7.0,7.01,121169,849786.75,340,64592,53.31, 
02-Sep-2020,DBREALTY,EQ,6.9,7.2,7.2,6.85,7.05,7.0,7.01,235051,1648403.6,489,131605,55.99, 
01-Sep-2020,DBREALTY,EQ,7.05,6.65,7.15,6.65,7.0,6.9,6.9,232648,1605712.1,653,147041,63.2, 
31-Aug-2020,DBREALTY,EQ,7.65,7.5,7.75,6.9,7.0,7.05,7.15,942948,6740549.0,1506,692486,73.44, 
28-Aug-2020,DBREALTY,EQ,8.0,8.45,8.45,7.6,7.75,7.65,7.88,1851001,14582201.05,2081,1305498,70.53, 
27-Aug-2020,DBREALTY,EQ,7.3,7.6,8.0,7.4,8.0,8.0,7.91,2438981,19299263.65,1722,1737661,71.25, 
26-Aug-2020,DBREALTY,EQ,7.25,7.35,7.4,6.95,7.35,7.3,7.18,499598,3586420.55,700,282870,56.62, 
25-Aug-2020,DBREALTY,EQ,7.45,7.5,7.5,7.25,7.3,7.25,7.37,225756,1663148.7,519,164920,73.05, 
24-Aug-2020,DBREALTY,EQ,7.45,7.35,7.55,7.2,7.5,7.45,7.45,547482,4079979.8,640,342116,62.49, 
21-Aug-2020,DBREALTY,EQ,7.45,7.45,7.5,7.35,7.4,7.45,7.42,161504,1198872.35,357,128791,79.74, 
20-Aug-2020,DBREALTY,EQ,7.3,7.3,7.55,7.2,7.5,7.45,7.45,516555,3848502.45,813,278300,53.88, 
19-Aug-2020,DBREALTY,EQ,7.25,7.3,7.35,7.15,7.35,7.3,7.26,234081,1698789.75,487,125081,53.43, 
18-Aug-2020,DBREALTY,EQ,7.25,7.25,7.35,7.15,7.3,7.25,7.28,326872,2380736.1,498,125851,38.5, 
17-Aug-2020,DBREALTY,EQ,7.25,7.5,7.6,7.2,7.2,7.25,7.35,330800,2431948.75,665,202942,61.35, 
14-Aug-2020,DBREALTY,EQ,7.45,7.6,7.6,7.2,7.3,7.25,7.38,307850,2271643.1,688,201448,65.44, 
13-Aug-2020,DBREALTY,EQ,7.5,7.65,7.8,7.4,7.4,7.45,7.54,293471,2213286.0,644,200132,68.19, 
12-Aug-2020,DBREALTY,EQ,7.35,7.35,7.7,7.3,7.55,7.5,7.54,281811,2126188.0,743,166856,59.21, 
11-Aug-2020,DBREALTY,EQ,7.4,7.5,7.55,7.15,7.3,7.35,7.43,299326,2222785.7,681,184226,61.55, 
10-Aug-2020,DBREALTY,EQ,7.3,7.6,7.6,6.9,7.4,7.4,7.33,546318,4002884.65,880,308328,56.44, 
07-Aug-2020,DBREALTY,EQ,6.75,6.8,7.4,6.7,7.4,7.3,7.17,539474,3866936.9,999,339216,62.88, 
06-Aug-2020,DBREALTY,EQ,6.7,6.8,6.8,6.7,6.8,6.75,6.77,137035,927219.85,379,96432,70.37, 
05-Aug-2020,DBREALTY,EQ,6.7,6.7,6.8,6.6,6.65,6.7,6.72,210407,1414174.25,533,112058,53.26, 
04-Aug-2020,DBREALTY,EQ,6.65,6.9,6.9,6.45,6.7,6.7,6.64,202114,1341701.0,475,108375,53.62, 
03-Aug-2020,DBREALTY,EQ,6.65,6.85,6.85,6.4,6.65,6.65,6.62,137445,910230.65,455,74634,54.3, 
31-Jul-2020,DBREALTY,EQ,6.75,6.65,6.95,6.45,6.75,6.65,6.63,280287,1858286.85,664,144542,51.57, 
30-Jul-2020,DBREALTY,EQ,7.0,7.1,7.1,6.65,6.75,6.75,6.83,316762,2162042.5,596,207353,65.46, 
29-Jul-2020,DBREALTY,EQ,7.05,7.15,7.15,7.0,7.0,7.0,7.06,150100,1059886.75,412,106072,70.67, 
28-Jul-2020,DBREALTY,EQ,7.3,7.3,7.4,6.95,7.0,7.05,7.1,255016,1810465.9,552,156723,61.46, 
27-Jul-2020,DBREALTY,EQ,7.4,7.5,7.65,7.1,7.35,7.3,7.33,410028,3003612.05,814,234907,57.29, 
24-Jul-2020,DBREALTY,EQ,7.05,7.05,7.4,7.0,7.4,7.4,7.24,666690,4827663.55,885,458649,68.79, 
23-Jul-2020,DBREALTY,EQ,7.1,7.2,7.4,7.0,7.05,7.05,7.13,313315,2233037.5,646,204990,65.43, 
22-Jul-2020,DBREALTY,EQ,6.95,7.2,7.25,6.9,7.2,7.1,7.11,525995,3742357.3,1111,320664,60.96, 
21-Jul-2020,DBREALTY,EQ,6.65,6.9,6.95,6.75,6.95,6.95,6.9,306543,2114037.6,491,186799,60.94, 
20-Jul-2020,DBREALTY,EQ,6.35,6.65,6.65,6.4,6.65,6.65,6.61,262979,1738090.85,594,178976,68.06, 
17-Jul-2020,DBREALTY,EQ,6.35,6.35,6.45,6.2,6.4,6.35,6.34,244380,1548734.65,508,138826,56.81, 
16-Jul-2020,DBREALTY,EQ,6.6,6.9,6.9,6.3,6.35,6.35,6.54,447528,2927495.35,680,267664,59.81, 
15-Jul-2020,DBREALTY,EQ,6.3,6.4,6.6,6.3,6.6,6.6,6.54,559027,3654002.6,589,300157,53.69, 
14-Jul-2020,DBREALTY,EQ,6.6,6.5,6.6,6.3,6.3,6.3,6.34,255612,1621042.05,466,185791,72.68, 
13-Jul-2020,DBREALTY,EQ,6.8,6.7,6.85,6.5,6.65,6.6,6.58,440766,2900082.05,708,290509,65.91, 
10-Jul-2020,DBREALTY,EQ,6.9,6.95,7.0,6.65,6.8,6.8,6.83,255975,1747403.45,456,173566,67.81, 
09-Jul-2020,DBREALTY,EQ,6.9,6.9,7.0,6.8,6.95,6.9,6.91,173921,1201187.4,429,112403,64.63, 
08-Jul-2020,DBREALTY,EQ,7.05,7.05,7.05,6.85,6.9,6.9,6.93,308939,2139569.95,580,208922,67.63, 
07-Jul-2020,DBREALTY,EQ,7.05,7.25,7.25,6.85,7.0,7.05,6.99,401225,2806049.95,639,276123,68.82, 
06-Jul-2020,DBREALTY,EQ,6.95,7.0,7.2,6.85,7.1,7.05,6.99,338581,2367470.35,687,245214,72.42, 
03-Jul-2020,DBREALTY,EQ,6.95,7.1,7.15,6.8,7.0,6.95,6.98,393470,2746393.1,683,259612,65.98, 
02-Jul-2020,DBREALTY,EQ,7.0,7.1,7.15,6.8,6.9,6.95,6.97,428782,2986507.55,836,329793,76.91, 
01-Jul-2020,DBREALTY,EQ,7.35,7.4,7.5,7.0,7.0,7.0,7.05,723324,5100524.35,994,471844,65.23, 
30-Jun-2020,DBREALTY,EQ,7.5,7.5,7.8,7.3,7.35,7.35,7.45,286966,2137207.95,666,240658,83.86, 
29-Jun-2020,DBREALTY,EQ,7.85,8.0,8.0,7.5,7.5,7.5,7.61,418405,3182683.05,616,317081,75.78, 
26-Jun-2020,DBREALTY,EQ,7.9,8.1,8.1,7.6,7.85,7.85,7.91,299904,2371488.3,761,230232,76.77, 
25-Jun-2020,DBREALTY,EQ,7.8,7.7,8.1,7.45,8.05,7.9,7.8,429986,3355496.65,916,227365,52.88, 
24-Jun-2020,DBREALTY,EQ,8.05,8.25,8.25,7.7,7.8,7.8,7.94,631446,5010598.45,1200,492142,77.94, 
23-Jun-2020,DBREALTY,EQ,7.95,8.0,8.25,7.85,8.15,8.05,8.02,579750,4648783.7,943,115985,76.96, 
22-Jun-2020,DBREALTY,EQ,8.1,8.5,8.5,7.8,8.0,7.95,8.02,1161339,9317556.35,1600,802082,69.07, 
19-Jun-2020,DBREALTY,EQ,8.35,8.7,8.7,7.95,8.35,8.1,8.24,618011,5091568.85,1176,431244,69.78, 
18-Jun-2020,DBREALTY,EQ,8.1,7.75,8.5,7.75,8.35,8.35,8.33,501365,4178846.3,1022,313190,62.47, 
17-Jun-2020,DBREALTY,EQ,8.5,8.3,8.4,8.1,8.1,8.1,8.14,358677,2920094.75,785,232239,64.75, 
16-Jun-2020,DBREALTY,EQ,8.1,8.5,8.5,7.75,8.5,8.5,8.4,438143,3680853.0,820,273932,62.52, 
15-Jun-2020,DBREALTY,EQ,7.75,7.75,8.1,7.4,8.1,8.1,8.03,421332,3385304.4,697,291932,69.29, 
12-Jun-2020,DBREALTY,EQ,8.15,7.75,7.85,7.75,7.75,7.75,7.75,390898,3029719.8,757,315044,80.59, 
11-Jun-2020,DBREALTY,EQ,8.55,8.15,8.4,8.15,8.15,8.15,8.15,217007,1768710.05,590,206469,95.14, 
10-Jun-2020,DBREALTY,EQ,8.95,9.35,9.35,8.55,8.55,8.55,8.85,451165,3994353.4,1037,293071,64.96, 
09-Jun-2020,DBREALTY,EQ,8.55,8.95,8.95,8.95,8.95,8.95,8.95,204652,1831635.4,441,204213,99.79, 
08-Jun-2020,DBREALTY,EQ,8.15,8.55,8.55,8.55,8.55,8.55,8.55,70609,603706.95,188,69510,98.44, 
05-Jun-2020,DBREALTY,EQ,7.8,8.1,8.15,7.45,8.15,8.15,8.09,242317,1959650.15,407,205051,84.62, 
