Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,DRREDDY,EQ,4616.95,4602.0,4728.0,4530.0,4726.0,4681.45,4616.57,1278534,5902443941.8,89385,339024,26.52, 
18-Feb-2021,DRREDDY,EQ,4600.55,4607.0,4663.85,4560.0,4622.5,4616.95,4616.64,1029506,4752857403.1,79689,318393,30.93, 
17-Feb-2021,DRREDDY,EQ,4696.6,4696.6,4709.95,4580.0,4595.25,4600.55,4620.02,1021355,4718685424.85,54415,360485,35.29, 
16-Feb-2021,DRREDDY,EQ,4709.85,4729.0,4761.6,4670.0,4693.0,4696.6,4709.26,812940,3828346475.75,47737,209713,25.8, 
15-Feb-2021,DRREDDY,EQ,4792.0,4792.0,4833.55,4700.05,4705.75,4709.85,4735.41,984641,4662681117.35,62122,280230,28.46, 
12-Feb-2021,DRREDDY,EQ,4825.05,4859.8,4859.8,4785.0,4796.95,4792.0,4817.33,500902,2413010923.75,35543,83469,16.66, 
11-Feb-2021,DRREDDY,EQ,4824.05,4821.0,4860.0,4810.0,4833.0,4825.05,4828.02,711550,3435375792.65,56504,328990,46.24, 
10-Feb-2021,DRREDDY,EQ,4844.1,4845.0,4884.1,4761.0,4815.0,4824.05,4812.73,1153423,5551111190.1,71166,442210,38.34, 
09-Feb-2021,DRREDDY,EQ,4859.8,4850.0,4895.7,4805.0,4838.1,4844.1,4863.43,1246769,6063573515.95,91297,539189,43.25, 
08-Feb-2021,DRREDDY,EQ,4800.9,4865.0,4909.95,4825.0,4861.0,4859.8,4869.86,2158578,10511977064.3,121634,1075225,49.81, 
05-Feb-2021,DRREDDY,EQ,4667.95,4685.0,4830.0,4625.65,4800.0,4800.9,4756.42,2407681,11451932404.4,144171,820492,34.08, 
04-Feb-2021,DRREDDY,EQ,4649.55,4693.0,4706.0,4622.1,4662.2,4667.95,4667.4,1301760,6075834428.95,80846,409666,31.47, 
03-Feb-2021,DRREDDY,EQ,4482.5,4578.95,4761.6,4542.45,4661.0,4649.55,4670.92,3445405,16093220769.7,236361,923734,26.81, 
02-Feb-2021,DRREDDY,EQ,4428.15,4469.0,4528.0,4381.0,4492.05,4482.5,4452.89,3675106,16364827634.85,199921,1560703,42.47, 
01-Feb-2021,DRREDDY,EQ,4602.7,4560.05,4577.65,4393.05,4434.3,4428.15,4434.05,2590340,11485705975.9,191794,903244,34.87, 
29-Jan-2021,DRREDDY,EQ,4871.8,4890.0,4915.0,4550.0,4613.55,4602.7,4705.7,2964195,13948599177.1,190160,815283,27.5, 
28-Jan-2021,DRREDDY,EQ,4909.3,4845.0,4903.95,4777.0,4841.0,4871.8,4847.21,1033094,5007620326.15,90306,373711,36.17, 
27-Jan-2021,DRREDDY,EQ,5082.4,5052.4,5052.4,4832.8,4902.0,4909.3,4939.64,1052396,5198453350.65,115152,420610,39.97, 
25-Jan-2021,DRREDDY,EQ,5036.9,5042.0,5128.4,4960.0,5080.0,5082.4,5057.41,717779,3630105543.05,55583,195146,27.19, 
22-Jan-2021,DRREDDY,EQ,5052.2,5048.75,5105.35,4985.0,5037.75,5036.9,5040.3,763122,3846361644.8,60162,182372,23.9, 
21-Jan-2021,DRREDDY,EQ,5080.65,5110.0,5138.0,5033.9,5068.95,5052.2,5088.12,581324,2957847227.3,49087,204828,35.23, 
20-Jan-2021,DRREDDY,EQ,5088.9,5102.3,5159.75,5065.05,5084.9,5080.65,5105.19,679629,3469637769.05,52744,212971,31.34, 
19-Jan-2021,DRREDDY,EQ,5052.1,5088.0,5104.95,5036.55,5085.3,5088.9,5066.72,798099,4043747241.95,49824,291695,36.55, 
18-Jan-2021,DRREDDY,EQ,5212.8,5231.0,5237.95,5035.0,5046.9,5052.1,5100.04,882411,4500332364.95,68064,292083,33.1, 
15-Jan-2021,DRREDDY,EQ,5308.9,5315.0,5315.0,5195.6,5212.1,5212.8,5240.23,515521,2701448136.4,36886,136279,26.44, 
14-Jan-2021,DRREDDY,EQ,5290.0,5304.9,5328.0,5265.0,5317.6,5308.9,5298.07,534972,2834317569.7,37494,194760,36.41, 
13-Jan-2021,DRREDDY,EQ,5353.85,5365.0,5375.0,5238.0,5280.0,5290.0,5299.45,659212,3493457937.85,46935,175244,26.58, 
12-Jan-2021,DRREDDY,EQ,5416.8,5440.95,5443.5,5329.45,5355.0,5353.85,5377.36,748372,4024266847.2,47291,187923,25.11, 
11-Jan-2021,DRREDDY,EQ,5338.25,5344.0,5427.0,5326.0,5413.0,5416.8,5396.87,919847,4964296017.95,66763,240665,26.16, 
08-Jan-2021,DRREDDY,EQ,5270.9,5299.9,5360.0,5279.0,5345.0,5338.25,5332.08,809183,4314627572.95,45991,251194,31.04, 
07-Jan-2021,DRREDDY,EQ,5288.3,5301.0,5325.0,5253.0,5285.25,5270.9,5281.31,653293,3450243671.55,43994,214943,32.9, 
06-Jan-2021,DRREDDY,EQ,5286.9,5286.9,5315.0,5226.0,5282.0,5288.3,5274.1,542678,2862136617.85,44072,142205,26.2, 
05-Jan-2021,DRREDDY,EQ,5272.25,5240.0,5337.0,5226.95,5284.65,5286.9,5291.43,954184,5048997344.3,57418,228077,23.9, 
