Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,EICHERMOT,EQ,2650.2,2646.0,2647.9,2570.0,2582.0,2584.65,2597.21,1588781,4126399694.6,85618,574705,36.17, 
18-Feb-2021,EICHERMOT,EQ,2695.5,2701.1,2712.85,2625.0,2647.95,2650.2,2662.74,1924724,5125041608.5,104699,692883,36.0, 
17-Feb-2021,EICHERMOT,EQ,2726.95,2720.0,2745.0,2685.0,2688.9,2695.5,2711.81,1491311,4044155489.1,78348,478747,32.1, 
16-Feb-2021,EICHERMOT,EQ,2770.05,2770.05,2778.15,2692.45,2725.0,2726.95,2735.66,1525475,4173173375.9,88810,571906,37.49, 
15-Feb-2021,EICHERMOT,EQ,2781.25,2796.0,2809.0,2758.0,2767.0,2770.05,2779.36,930514,2586236593.05,58166,134293,14.43, 
12-Feb-2021,EICHERMOT,EQ,2818.15,2840.0,2844.95,2765.05,2774.0,2781.25,2799.23,1907486,5339489508.65,78061,253443,13.29, 
11-Feb-2021,EICHERMOT,EQ,2901.3,2750.0,2840.8,2701.3,2827.0,2818.15,2793.35,4481414,12518141364.9,205410,534913,11.94, 
10-Feb-2021,EICHERMOT,EQ,2947.65,2968.0,2998.9,2876.75,2893.0,2901.3,2941.99,2160932,6357447864.4,116131,317173,14.68, 
09-Feb-2021,EICHERMOT,EQ,2970.4,2993.3,3018.0,2936.05,2948.0,2947.65,2974.39,1127584,3353878764.5,52872,205207,18.2, 
08-Feb-2021,EICHERMOT,EQ,2932.15,2934.0,2986.0,2930.1,2973.9,2970.4,2964.0,654484,1939888941.35,38932,82366,12.58, 
05-Feb-2021,EICHERMOT,EQ,2963.45,2973.2,2990.0,2905.2,2930.0,2932.15,2939.82,915838,2692400529.05,47243,218871,23.9, 
04-Feb-2021,EICHERMOT,EQ,2916.9,2900.9,2978.0,2881.0,2965.0,2963.45,2943.54,1259327,3706873175.5,69432,341482,27.12, 
03-Feb-2021,EICHERMOT,EQ,2904.85,2904.85,2948.0,2871.5,2919.0,2916.9,2918.26,1349528,3938270527.9,50470,139144,10.31, 
02-Feb-2021,EICHERMOT,EQ,2842.85,2920.0,2920.0,2825.95,2906.0,2904.85,2874.14,2125895,6110119751.15,88608,254870,11.99, 
01-Feb-2021,EICHERMOT,EQ,2744.3,2777.0,2868.05,2698.55,2853.0,2842.85,2781.99,1847361,5139335844.6,84346,259898,14.07, 
29-Jan-2021,EICHERMOT,EQ,2798.45,2812.4,2870.45,2726.95,2758.3,2744.3,2800.07,2067268,5788500548.5,112364,392433,18.98, 
28-Jan-2021,EICHERMOT,EQ,2789.9,2780.0,2830.0,2738.35,2786.7,2798.45,2793.49,1430646,3996490064.7,96332,190840,13.34, 
27-Jan-2021,EICHERMOT,EQ,2869.55,2899.95,2932.4,2769.5,2784.5,2789.9,2827.64,2574644,7280159264.75,152884,697245,27.08, 
25-Jan-2021,EICHERMOT,EQ,2972.6,3029.95,3029.95,2851.25,2883.3,2869.55,2903.82,2024082,5877564110.1,114899,765934,37.84, 
