Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,GAIL,EQ,143.1,143.95,149.45,143.5,145.15,145.4,146.94,69653864,10234659397.85,234500,13347476,19.16, 
18-Feb-2021,GAIL,EQ,134.4,138.95,147.8,138.0,143.95,143.1,143.71,114715328,16486024555.75,385848,21677048,18.9, 
17-Feb-2021,GAIL,EQ,133.1,132.5,136.95,132.0,135.0,134.4,135.33,21615744,2925159051.3,93850,6476912,29.96, 
16-Feb-2021,GAIL,EQ,133.8,134.2,135.25,132.5,133.1,133.1,133.91,15227589,2039188873.2,86059,3993965,26.23, 
15-Feb-2021,GAIL,EQ,132.9,133.95,135.4,131.85,133.65,133.8,133.95,16847815,2256798854.15,56215,4225628,25.08, 
12-Feb-2021,GAIL,EQ,136.45,136.95,137.25,132.35,132.7,132.9,134.18,13980720,1875891791.7,69584,3104030,22.2, 
11-Feb-2021,GAIL,EQ,133.6,133.9,138.0,133.1,136.4,136.45,136.69,45742936,6252505668.4,166153,5755407,12.58, 
10-Feb-2021,GAIL,EQ,131.05,132.4,134.0,130.8,133.7,133.6,132.66,29017416,3849465288.8,121723,7062935,24.34, 
09-Feb-2021,GAIL,EQ,131.4,132.0,133.45,130.7,131.25,131.05,132.03,15232082,2011111708.05,60321,3689236,24.22, 
08-Feb-2021,GAIL,EQ,128.2,129.9,134.3,129.15,131.6,131.4,132.32,27756625,3672796777.6,112200,7287700,26.26, 
05-Feb-2021,GAIL,EQ,130.7,132.2,132.7,127.5,128.9,128.2,129.54,16472506,2133907948.1,71825,4457744,27.06, 
04-Feb-2021,GAIL,EQ,130.45,131.0,135.25,130.25,130.95,130.7,132.55,24343813,3226674430.8,105142,7852904,32.26, 
03-Feb-2021,GAIL,EQ,129.7,130.0,132.45,129.3,130.5,130.45,130.88,18339188,2400262085.9,65908,7063468,38.52, 
02-Feb-2021,GAIL,EQ,127.4,128.9,132.2,128.75,130.6,129.7,130.02,16460769,2140203541.35,77980,5202086,31.6, 
01-Feb-2021,GAIL,EQ,125.3,124.25,129.0,124.25,128.55,127.4,126.32,17372633,2194568427.75,70712,5893396,33.92, 
29-Jan-2021,GAIL,EQ,128.6,129.0,129.7,124.3,125.15,125.3,127.04,22647682,2877124159.5,67090,8869812,39.16, 
28-Jan-2021,GAIL,EQ,127.7,126.0,129.65,125.6,129.15,128.6,127.91,17278242,2210041939.75,67156,3949648,22.86, 
27-Jan-2021,GAIL,EQ,132.95,130.7,131.65,126.9,127.65,127.7,128.83,23044055,2968722654.25,88992,9407736,40.83, 
25-Jan-2021,GAIL,EQ,134.05,135.0,136.95,132.25,133.1,132.95,133.71,24070762,3218549190.7,117356,10257543,42.61, 
22-Jan-2021,GAIL,EQ,133.75,134.0,136.3,133.0,134.45,134.05,134.47,26214316,3524912293.15,124427,10523799,40.15, 
21-Jan-2021,GAIL,EQ,138.0,139.7,139.7,132.55,134.75,133.75,136.0,25224127,3430526896.95,141754,10071226,39.93, 
20-Jan-2021,GAIL,EQ,139.65,140.05,140.6,137.55,138.2,138.0,138.46,20441310,2830217233.75,114217,7118729,34.83, 
19-Jan-2021,GAIL,EQ,137.9,139.8,141.4,138.55,140.0,139.65,140.15,16554618,2320051044.75,63605,3756270,22.69, 
18-Jan-2021,GAIL,EQ,138.5,140.8,142.0,134.6,137.05,137.9,137.83,34172561,4709948649.4,121917,6255628,18.31, 
15-Jan-2021,GAIL,EQ,144.0,144.45,146.2,136.55,139.2,138.5,142.33,37787540,5378127382.55,145671,9903015,26.21, 
14-Jan-2021,GAIL,EQ,141.25,141.45,146.0,140.9,144.0,144.0,144.04,30651392,4415055204.75,124855,8381967,27.35, 
13-Jan-2021,GAIL,EQ,141.4,144.0,144.0,139.15,141.45,141.25,142.09,27169852,3860607745.75,100638,5546510,20.41, 
12-Jan-2021,GAIL,EQ,135.7,140.9,143.5,139.2,142.05,141.4,141.47,65057615,9204015916.1,253740,12248943,18.83, 
11-Jan-2021,GAIL,EQ,132.75,134.0,136.6,132.05,136.1,135.7,133.77,22887257,3061652933.65,87063,8445467,36.9, 
08-Jan-2021,GAIL,EQ,133.45,134.5,134.65,131.65,132.3,132.75,133.16,17130661,2281192818.65,60600,6382852,37.26, 
07-Jan-2021,GAIL,EQ,134.0,135.45,135.8,132.3,133.7,133.45,133.82,18038619,2413902473.6,71978,3884646,21.54, 
06-Jan-2021,GAIL,EQ,129.3,130.8,136.0,130.5,133.9,134.0,133.87,45548182,6097546332.8,165165,9473270,20.8, 
05-Jan-2021,GAIL,EQ,128.0,127.15,129.75,125.75,129.6,129.3,128.3,24858763,3189270116.2,72343,6237771,25.09, 
04-Jan-2021,GAIL,EQ,123.65,124.8,128.45,124.65,128.05,128.0,127.04,25382950,3224770353.35,88090,5081454,20.02, 
01-Jan-2021,GAIL,EQ,123.25,123.9,124.4,122.55,123.35,123.65,123.44,8751786,1080342135.75,42637,1655957,18.92, 
31-Dec-2020,GAIL,EQ,123.1,121.2,123.9,121.2,123.35,123.25,122.58,11829604,1450119980.75,50139,2935628,24.82, 
30-Dec-2020,GAIL,EQ,123.75,123.9,124.2,121.6,122.9,123.1,122.82,11547865,1418289386.6,36162,2539062,21.99, 
29-Dec-2020,GAIL,EQ,122.65,123.45,124.6,121.9,123.9,123.75,123.32,14204456,1751721323.9,51805,3469399,24.42, 
28-Dec-2020,GAIL,EQ,120.15,121.15,123.15,120.55,122.75,122.65,121.81,17437291,2124112352.4,90338,4243358,24.33, 
24-Dec-2020,GAIL,EQ,118.25,119.0,123.0,119.0,120.35,120.15,120.87,20610640,2491260158.4,70872,3047338,14.79, 
23-Dec-2020,GAIL,EQ,118.5,119.0,119.5,116.65,118.45,118.25,118.37,15213502,1800768727.2,54722,3391599,22.29, 
22-Dec-2020,GAIL,EQ,114.7,114.5,120.6,112.65,118.35,118.5,116.6,43517898,5074377288.25,149099,5621522,12.92, 
21-Dec-2020,GAIL,EQ,125.05,125.0,125.0,112.55,114.5,114.7,118.0,28013714,3305496488.05,100679,6141119,21.92, 
18-Dec-2020,GAIL,EQ,123.9,124.5,125.5,121.2,125.2,125.05,123.78,24075533,2980120383.0,59301,9768936,40.58, 
17-Dec-2020,GAIL,EQ,124.4,125.25,125.7,123.5,124.0,123.9,124.14,13813435,1714765857.1,58925,4239083,30.69, 
16-Dec-2020,GAIL,EQ,125.25,126.5,126.85,123.85,124.4,124.4,124.62,18903163,2355771800.35,60257,6870953,36.35, 
15-Dec-2020,GAIL,EQ,125.45,126.45,126.45,124.25,125.35,125.25,125.17,16760552,2097987627.35,64328,5690250,33.95, 
14-Dec-2020,GAIL,EQ,125.85,127.0,128.2,125.1,126.0,125.45,126.16,20685428,2609726527.6,65295,4121778,19.93, 
11-Dec-2020,GAIL,EQ,120.05,120.1,128.8,120.05,126.1,125.85,125.89,52797382,6646778367.75,161183,8266986,15.66, 
10-Dec-2020,GAIL,EQ,122.5,122.75,123.45,119.35,120.0,120.05,120.52,16189659,1951130217.45,53983,5226733,32.28, 
09-Dec-2020,GAIL,EQ,121.75,123.0,124.1,121.75,122.7,122.5,122.87,15309274,1880975585.6,64651,4320149,28.22, 
08-Dec-2020,GAIL,EQ,122.4,124.05,125.0,120.65,121.75,121.75,122.62,25015522,3067523590.35,83484,4734988,18.93, 
07-Dec-2020,GAIL,EQ,119.8,120.75,124.4,120.6,122.85,122.4,122.41,26548695,3249700103.6,95378,5103046,19.22, 
04-Dec-2020,GAIL,EQ,118.25,119.7,122.0,118.5,119.85,119.8,120.21,33874098,4072103450.3,110222,6957274,20.54, 
03-Dec-2020,GAIL,EQ,116.7,117.25,121.9,116.15,118.55,118.25,119.09,60765138,7236655195.95,178053,9495768,15.63, 
02-Dec-2020,GAIL,EQ,110.7,111.0,120.5,110.15,116.1,116.7,116.39,97500422,11348152320.05,256208,14515464,14.89, 
01-Dec-2020,GAIL,EQ,102.65,103.65,112.0,103.1,110.8,110.7,109.36,85684453,9370657238.7,255689,16099746,18.79, 
27-Nov-2020,GAIL,EQ,102.75,103.5,106.7,101.5,102.75,102.65,103.75,39726156,4121447305.55,134949,15106285,38.03, 
26-Nov-2020,GAIL,EQ,102.3,102.3,103.45,101.6,102.95,102.75,102.5,17424168,1786035305.3,51765,6149116,35.29, 
25-Nov-2020,GAIL,EQ,100.3,101.35,103.7,100.5,101.95,102.3,102.25,26160208,2674781685.45,94475,7561441,28.9, 
24-Nov-2020,GAIL,EQ,100.9,101.8,102.5,99.25,100.1,100.3,100.58,18023349,1812736497.95,56589,3266352,18.12, 
23-Nov-2020,GAIL,EQ,97.45,99.0,101.5,97.6,100.9,100.9,99.58,29687033,2956240993.6,97296,7127497,24.01, 
20-Nov-2020,GAIL,EQ,93.65,93.9,97.95,93.0,97.6,97.45,95.82,29777970,2853348893.5,91631,5708506,19.17, 
19-Nov-2020,GAIL,EQ,93.95,93.0,96.85,93.0,93.45,93.65,94.81,17894047,1696601608.9,84163,4897294,27.37, 
18-Nov-2020,GAIL,EQ,93.55,93.7,94.65,92.8,93.8,93.95,93.85,10207427,957991539.5,42696,2647053,25.93, 
17-Nov-2020,GAIL,EQ,93.5,94.3,95.3,93.05,93.5,93.55,94.15,12227481,1151197371.15,42924,3673409,30.04, 
14-Nov-2020,GAIL,EQ,92.8,94.0,94.0,92.7,93.65,93.5,93.51,2128874,199073607.9,11912,806885,37.9, 
13-Nov-2020,GAIL,EQ,93.05,92.95,93.3,91.5,92.75,92.8,92.41,10482732,968749342.95,30672,1610684,15.37, 
12-Nov-2020,GAIL,EQ,92.95,93.75,94.0,92.6,93.0,93.05,93.33,13703238,1278870499.3,41330,2632666,19.21, 
11-Nov-2020,GAIL,EQ,90.2,91.2,94.4,90.5,93.1,92.95,92.41,38091052,3520164882.75,121066,6789349,17.82, 
10-Nov-2020,GAIL,EQ,86.5,87.0,90.85,86.8,90.8,90.2,89.12,25916479,2309580646.4,102966,7707916,29.74, 
09-Nov-2020,GAIL,EQ,85.8,86.2,86.75,85.65,86.6,86.5,86.22,7506767,647233113.95,42609,2084882,27.77, 
06-Nov-2020,GAIL,EQ,87.45,87.5,87.7,85.5,85.8,85.8,86.13,13595704,1171037713.55,81724,4886473,35.94, 
05-Nov-2020,GAIL,EQ,83.35,84.4,87.95,83.75,87.55,87.45,86.22,18571054,1601206189.65,89631,5307004,28.58, 
