Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,HEROMOTOCO,EQ,3522.85,3522.85,3522.85,3370.0,3390.75,3389.7,3428.43,995322,3412389412.9,58960,271530,27.28, 
18-Feb-2021,HEROMOTOCO,EQ,3584.0,3579.65,3629.05,3506.0,3523.05,3522.85,3569.14,1701157,6071659629.1,120356,549609,32.31, 
17-Feb-2021,HEROMOTOCO,EQ,3461.55,3463.45,3595.0,3457.25,3583.0,3584.0,3552.31,1946207,6913522924.85,98269,575591,29.58, 
16-Feb-2021,HEROMOTOCO,EQ,3465.4,3470.0,3485.3,3432.0,3467.75,3461.55,3449.81,759332,2619550770.2,41301,188529,24.83, 
15-Feb-2021,HEROMOTOCO,EQ,3515.75,3488.95,3506.15,3452.0,3468.3,3465.4,3477.96,809861,2816660786.65,44803,187245,23.12, 
12-Feb-2021,HEROMOTOCO,EQ,3541.5,3535.95,3580.0,3502.9,3512.0,3515.75,3538.25,566161,2003217441.7,32248,86054,15.2, 
11-Feb-2021,HEROMOTOCO,EQ,3538.95,3524.0,3554.0,3473.55,3540.0,3541.5,3523.75,757116,2667884060.0,48353,145948,19.28, 
10-Feb-2021,HEROMOTOCO,EQ,3499.45,3490.0,3568.75,3485.25,3538.0,3538.95,3526.22,1477082,5208511912.7,98193,433211,29.33, 
09-Feb-2021,HEROMOTOCO,EQ,3495.0,3461.0,3538.0,3456.35,3498.0,3499.45,3511.29,1543021,5417990400.55,113457,776626,50.33, 
08-Feb-2021,HEROMOTOCO,EQ,3429.2,3478.0,3506.9,3415.4,3482.75,3495.0,3476.44,1004959,3493682707.25,78602,282160,28.08, 
05-Feb-2021,HEROMOTOCO,EQ,3440.7,3500.0,3560.0,3366.0,3425.8,3429.2,3448.88,2719249,9378359513.7,155888,343824,12.64, 
04-Feb-2021,HEROMOTOCO,EQ,3380.8,3441.0,3515.0,3404.1,3442.0,3440.7,3452.14,2425660,8373727937.75,135934,374059,15.42, 
03-Feb-2021,HEROMOTOCO,EQ,3293.85,3296.55,3422.0,3268.0,3407.65,3380.8,3351.99,1077971,3613345611.35,71065,313765,29.11, 
02-Feb-2021,HEROMOTOCO,EQ,3340.65,3400.0,3400.0,3261.0,3290.6,3293.85,3307.88,1751516,5793810298.15,117430,378115,21.59, 
01-Feb-2021,HEROMOTOCO,EQ,3256.05,3300.0,3360.8,3217.25,3356.0,3340.65,3298.59,1285163,4239230123.2,89587,369460,28.75, 
29-Jan-2021,HEROMOTOCO,EQ,3397.4,3419.9,3485.0,3226.4,3272.0,3256.05,3377.32,1718833,5805048283.95,103370,338447,19.69, 
28-Jan-2021,HEROMOTOCO,EQ,3358.55,3338.95,3464.1,3325.15,3376.0,3397.4,3400.0,1986409,6753782258.3,110575,315893,15.9, 
27-Jan-2021,HEROMOTOCO,EQ,3474.95,3450.0,3484.0,3329.95,3341.0,3358.55,3415.36,1333633,4554837122.3,79044,267024,20.02, 
25-Jan-2021,HEROMOTOCO,EQ,3374.9,3417.95,3520.15,3357.05,3461.5,3474.95,3451.29,2266967,7823951889.55,144268,456017,20.12, 
22-Jan-2021,HEROMOTOCO,EQ,3247.3,3265.0,3483.95,3258.9,3377.0,3374.9,3408.51,3813020,12996710789.35,206894,633782,16.62, 
21-Jan-2021,HEROMOTOCO,EQ,3275.6,3275.6,3346.0,3219.7,3265.0,3247.3,3303.71,1300181,4295416275.55,74531,500750,38.51, 
20-Jan-2021,HEROMOTOCO,EQ,3232.9,3239.0,3292.5,3230.3,3268.0,3275.6,3272.55,841752,2754677807.25,61317,363384,43.17, 
19-Jan-2021,HEROMOTOCO,EQ,3163.15,3170.5,3240.75,3170.5,3229.0,3232.9,3213.58,770832,2477132038.25,54574,276934,35.93, 
18-Jan-2021,HEROMOTOCO,EQ,3203.0,3200.0,3217.55,3082.25,3155.0,3163.15,3143.29,1280163,4023927328.65,73661,544605,42.54, 
15-Jan-2021,HEROMOTOCO,EQ,3266.6,3250.0,3270.85,3174.0,3199.0,3203.0,3201.72,1199320,3839882324.6,74769,247109,20.6, 
14-Jan-2021,HEROMOTOCO,EQ,3256.8,3265.0,3295.0,3238.05,3265.6,3266.6,3268.04,803208,2624915946.4,49575,389519,48.5, 
13-Jan-2021,HEROMOTOCO,EQ,3248.25,3260.0,3318.0,3216.7,3256.0,3256.8,3266.47,1424073,4651693772.45,77349,328095,23.04, 
12-Jan-2021,HEROMOTOCO,EQ,3197.7,3190.0,3295.0,3180.45,3242.05,3248.25,3249.39,1586336,5154631573.9,94377,419632,26.45, 
11-Jan-2021,HEROMOTOCO,EQ,3161.1,3161.0,3224.9,3147.05,3196.15,3197.7,3188.93,1596027,5089625247.55,89566,502708,31.5, 
08-Jan-2021,HEROMOTOCO,EQ,3055.25,3070.0,3165.95,3063.1,3158.0,3161.1,3123.22,1576465,4923642311.0,75281,639268,40.55, 
