Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,HINDUNILVR,EQ,2146.85,2152.9,2194.0,2150.0,2185.0,2181.1,2175.63,3364030,7318886379.5,141166,1347424,40.05, 
18-Feb-2021,HINDUNILVR,EQ,2163.9,2164.0,2168.55,2143.2,2147.5,2146.85,2156.51,3205806,6913345785.0,201161,2319377,72.35, 
17-Feb-2021,HINDUNILVR,EQ,2196.1,2196.0,2201.55,2160.0,2165.0,2163.9,2174.96,2447956,5324202066.35,116919,1468089,59.97, 
16-Feb-2021,HINDUNILVR,EQ,2215.2,2227.0,2229.05,2190.05,2197.0,2196.1,2205.05,2396356,5284088110.35,128657,1463631,61.08, 
15-Feb-2021,HINDUNILVR,EQ,2241.55,2251.0,2261.75,2213.0,2217.9,2215.2,2238.32,2449407,5482545886.05,100151,1577722,64.41, 
12-Feb-2021,HINDUNILVR,EQ,2263.0,2268.0,2272.25,2232.0,2241.5,2241.55,2249.09,1222094,2748604802.8,64732,568820,46.54, 
11-Feb-2021,HINDUNILVR,EQ,2235.5,2242.0,2268.0,2234.05,2263.0,2263.0,2256.94,1824480,4117741476.75,75386,932003,51.08, 
10-Feb-2021,HINDUNILVR,EQ,2216.25,2220.0,2241.0,2212.75,2240.0,2235.5,2227.12,2055520,4577890386.55,108586,1020498,49.65, 
09-Feb-2021,HINDUNILVR,EQ,2236.65,2247.0,2254.7,2210.5,2215.9,2216.25,2232.98,3131481,6992539754.8,130930,2018283,64.45, 
08-Feb-2021,HINDUNILVR,EQ,2269.55,2288.0,2288.7,2230.3,2237.0,2236.65,2253.22,2780672,6265466321.2,155971,1640042,58.98, 
05-Feb-2021,HINDUNILVR,EQ,2245.6,2245.6,2285.0,2241.0,2267.05,2269.55,2263.84,4036942,9139002202.1,135087,2371338,58.74, 
04-Feb-2021,HINDUNILVR,EQ,2232.85,2239.0,2259.0,2226.2,2247.0,2245.6,2242.04,2908003,6519860226.95,110128,1634313,56.2, 
03-Feb-2021,HINDUNILVR,EQ,2230.45,2231.5,2257.0,2217.6,2233.8,2232.85,2241.56,2353429,5275363066.2,115017,921247,39.14, 
02-Feb-2021,HINDUNILVR,EQ,2248.6,2271.05,2275.0,2205.0,2225.0,2230.45,2233.77,4215607,9416683078.0,229142,2451371,58.15, 
01-Feb-2021,HINDUNILVR,EQ,2263.9,2276.65,2285.0,2226.2,2255.0,2248.6,2253.01,2717591,6122754356.05,127202,1638783,60.3, 
29-Jan-2021,HINDUNILVR,EQ,2300.4,2315.1,2322.3,2251.0,2264.5,2263.9,2278.17,4472694,10189542859.0,180375,2477380,55.39, 
28-Jan-2021,HINDUNILVR,EQ,2391.3,2367.9,2411.55,2290.0,2304.0,2300.4,2332.18,3867335,9019311004.4,235954,1460939,37.78, 
27-Jan-2021,HINDUNILVR,EQ,2399.6,2425.0,2425.0,2335.0,2403.0,2391.3,2376.31,2460297,5846430417.4,134530,939275,38.18, 
25-Jan-2021,HINDUNILVR,EQ,2409.35,2420.0,2432.35,2385.0,2398.05,2399.6,2408.46,2124424,5116580933.9,121801,932255,43.88, 
22-Jan-2021,HINDUNILVR,EQ,2367.65,2359.0,2422.0,2357.0,2402.0,2409.35,2401.25,2548089,6118604663.1,125848,1454715,57.09, 
21-Jan-2021,HINDUNILVR,EQ,2355.95,2376.0,2399.9,2350.0,2368.0,2367.65,2379.79,1521133,3619970951.85,109343,713191,46.89, 
20-Jan-2021,HINDUNILVR,EQ,2363.15,2357.0,2373.95,2346.3,2359.3,2355.95,2358.95,1380562,3256671185.35,56821,725664,52.56, 
19-Jan-2021,HINDUNILVR,EQ,2332.6,2342.0,2382.1,2323.25,2366.05,2363.15,2356.53,1495269,3523653036.25,110595,790460,52.86, 
18-Jan-2021,HINDUNILVR,EQ,2351.15,2374.5,2374.5,2320.65,2323.0,2332.6,2348.24,1733797,4071370359.55,121351,984021,56.76, 
15-Jan-2021,HINDUNILVR,EQ,2398.55,2392.5,2407.0,2342.8,2351.0,2351.15,2369.12,2042957,4840009790.55,96722,1235348,60.47, 
14-Jan-2021,HINDUNILVR,EQ,2372.35,2366.0,2406.0,2351.15,2395.15,2398.55,2388.27,2120413,5064111296.6,103137,1065059,50.23, 
13-Jan-2021,HINDUNILVR,EQ,2375.9,2381.9,2398.0,2364.6,2371.0,2372.35,2380.05,1702740,4052600326.8,93485,746212,43.82, 
