Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,ICICIBANK,EQ,644.65,635.5,635.5,619.0,625.4,624.05,627.94,24055811,15105708907.95,351586,10486329,43.59, 
18-Feb-2021,ICICIBANK,EQ,657.35,650.0,652.4,637.6,644.9,644.65,644.05,27845347,17933906812.85,327130,13603206,48.85, 
17-Feb-2021,ICICIBANK,EQ,658.35,654.8,664.95,649.35,654.5,657.35,657.26,21684753,14252464257.3,250232,8922984,41.15, 
16-Feb-2021,ICICIBANK,EQ,673.95,673.4,679.4,649.55,658.15,658.35,660.32,24966739,16486062899.8,279739,10487577,42.01, 
15-Feb-2021,ICICIBANK,EQ,647.6,655.0,676.8,652.0,674.6,673.95,665.53,27155194,18072574053.35,321530,9440787,34.77, 
12-Feb-2021,ICICIBANK,EQ,630.65,629.9,649.9,629.4,647.05,647.6,641.59,19049709,12222133667.55,185553,6009852,31.55, 
11-Feb-2021,ICICIBANK,EQ,632.15,626.75,633.6,624.1,631.25,630.65,628.85,16072702,10107382101.6,265311,7491438,46.61, 
10-Feb-2021,ICICIBANK,EQ,633.35,633.35,638.2,626.4,632.5,632.15,632.79,23967387,15166418443.9,245454,11204614,46.75, 
09-Feb-2021,ICICIBANK,EQ,629.6,631.35,643.2,628.6,631.55,633.35,636.01,27155615,17271303277.95,289954,13475412,49.62, 
08-Feb-2021,ICICIBANK,EQ,614.15,622.35,633.95,622.35,629.4,629.6,629.35,18230551,11473332328.75,207409,7076895,38.82, 
05-Feb-2021,ICICIBANK,EQ,628.3,628.3,635.3,611.0,617.0,614.15,621.31,32015570,19891496556.55,393296,11570841,36.14, 
04-Feb-2021,ICICIBANK,EQ,622.35,618.8,631.65,609.0,626.35,628.3,620.28,29982222,18597434499.25,325725,12251022,40.86, 
03-Feb-2021,ICICIBANK,EQ,617.35,623.4,627.5,614.0,621.3,622.35,620.98,27155908,16863399916.05,297041,11691236,43.05, 
02-Feb-2021,ICICIBANK,EQ,603.8,613.0,624.0,598.7,618.45,617.35,613.06,42362384,25970715478.9,425599,12159902,28.7, 
01-Feb-2021,ICICIBANK,EQ,537.0,552.0,609.45,551.0,608.75,603.8,580.42,69354326,40254748010.3,677016,21819254,31.46, 
29-Jan-2021,ICICIBANK,EQ,528.25,533.35,544.95,529.45,538.95,537.0,536.18,33172808,17786697557.65,299110,16098213,48.53, 
28-Jan-2021,ICICIBANK,EQ,522.35,514.6,529.85,512.0,528.25,528.25,520.72,29836591,15536378116.8,340760,11733669,39.33, 
27-Jan-2021,ICICIBANK,EQ,538.05,537.8,539.2,519.1,522.75,522.35,528.25,28049286,14817089783.2,346606,15695957,55.96, 
25-Jan-2021,ICICIBANK,EQ,533.8,536.55,542.3,531.2,537.3,538.05,536.87,23415249,12570891207.3,230605,11414356,48.75, 
22-Jan-2021,ICICIBANK,EQ,552.7,553.1,553.5,530.6,532.0,533.8,540.16,24515997,13242669845.85,286973,12680501,51.72, 
21-Jan-2021,ICICIBANK,EQ,551.0,555.0,561.0,549.7,553.1,552.7,556.1,18189277,10115112199.8,239999,8963282,49.28, 
