Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,INDIAMART,EQ,9058.4,9118.85,9139.95,8751.0,8850.0,8836.8,8857.84,97522,863834630.85,25272,38927,39.92, 
18-Feb-2021,INDIAMART,EQ,8557.85,8748.95,9320.0,8729.1,9075.0,9058.4,9134.3,231515,2114728382.6,54157,73079,31.57, 
17-Feb-2021,INDIAMART,EQ,8855.85,8884.0,9050.0,8372.1,8550.0,8557.85,8621.66,151831,1309035593.8,39909,56520,37.23, 
16-Feb-2021,INDIAMART,EQ,9088.15,9120.0,9224.5,8802.0,8884.0,8855.85,8966.54,94314,845669868.6,30999,47453,50.31, 
15-Feb-2021,INDIAMART,EQ,9210.55,9268.6,9293.5,9013.8,9087.0,9088.15,9166.38,75157,688917499.4,23901,29404,39.12, 
12-Feb-2021,INDIAMART,EQ,9369.8,9426.25,9430.0,9150.0,9219.0,9210.55,9234.09,64421,594869069.8,16576,23923,37.14, 
11-Feb-2021,INDIAMART,EQ,9326.0,9388.9,9525.0,9330.0,9395.0,9369.8,9429.69,111035,1047025279.15,26642,45574,41.04, 
10-Feb-2021,INDIAMART,EQ,9090.1,9171.95,9540.0,9137.15,9388.9,9326.0,9319.77,155503,1449251795.05,35008,47312,30.43, 
09-Feb-2021,INDIAMART,EQ,9182.3,9000.0,9339.95,8710.0,9088.0,9090.1,9068.52,206597,1873529657.1,49011,55214,26.73, 
08-Feb-2021,INDIAMART,EQ,9780.9,9871.95,9910.6,9026.65,9240.0,9182.3,9405.32,243707,2292142140.0,55220,81776,33.56, 
05-Feb-2021,INDIAMART,EQ,9199.8,9350.0,9950.0,9350.0,9925.0,9780.9,9701.96,528242,5124982942.2,114650,95476,18.07, 
04-Feb-2021,INDIAMART,EQ,8255.9,8330.25,9400.0,8275.0,9349.0,9199.8,8892.69,461437,4103413921.1,89278,110508,23.95, 
03-Feb-2021,INDIAMART,EQ,8006.95,8035.0,8335.0,7974.95,8300.0,8255.9,8170.31,136352,1114038154.35,26265,52559,38.55, 
02-Feb-2021,INDIAMART,EQ,7781.85,7840.0,8282.0,7785.55,8000.0,8006.95,8076.59,161543,1304716544.9,38701,55118,34.12, 
01-Feb-2021,INDIAMART,EQ,7802.55,7858.15,7858.15,7411.0,7780.0,7781.85,7723.1,74204,573084722.55,22837,20738,27.95, 
29-Jan-2021,INDIAMART,EQ,7953.6,8000.0,8085.15,7715.0,7800.0,7802.55,7948.93,94696,752731552.05,31210,36422,38.46, 
28-Jan-2021,INDIAMART,EQ,7952.7,7850.0,7995.0,7832.65,7980.0,7953.6,7924.62,106562,844463272.1,23912,49919,46.85, 
27-Jan-2021,INDIAMART,EQ,7800.7,7770.0,8014.6,7640.0,7985.0,7952.7,7877.71,123428,972329568.5,32556,37160,30.11, 
25-Jan-2021,INDIAMART,EQ,7893.5,7980.0,8043.85,7550.0,7834.0,7800.7,7832.81,111652,874548961.45,26212,30865,27.64, 
22-Jan-2021,INDIAMART,EQ,7728.7,7920.75,7990.0,7804.0,7945.0,7893.5,7889.74,196504,1550364819.65,35982,54085,27.52, 
21-Jan-2021,INDIAMART,EQ,7320.15,7422.65,8090.05,7422.65,7874.0,7728.7,7779.88,511704,3980994875.55,85956,152165,29.74, 
20-Jan-2021,INDIAMART,EQ,7404.6,7472.7,7538.6,7285.0,7332.0,7320.15,7385.27,114163,843124520.45,23883,40944,35.86, 
19-Jan-2021,INDIAMART,EQ,7465.45,7559.0,7724.85,7376.95,7400.0,7404.6,7498.65,267901,2008894872.7,55013,78640,29.35, 
