Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,INDUSINDBK,EQ,1046.05,1035.0,1074.55,1027.8,1069.8,1065.9,1055.69,14557527,15368213441.0,217668,4656447,31.99, 
18-Feb-2021,INDUSINDBK,EQ,1033.2,1045.0,1055.4,1033.4,1043.75,1046.05,1044.75,8911120,9309858269.4,162856,1584183,17.78, 
17-Feb-2021,INDUSINDBK,EQ,1058.25,1080.0,1085.0,1026.2,1032.1,1033.2,1044.93,13855321,14477779726.85,233993,3043228,21.96, 
16-Feb-2021,INDUSINDBK,EQ,1057.6,1068.0,1096.5,1041.1,1063.0,1058.25,1069.05,13883441,14842039558.75,278407,2132526,15.36, 
15-Feb-2021,INDUSINDBK,EQ,1027.4,1044.9,1063.0,1037.7,1059.0,1057.6,1053.29,9121286,9607396330.0,187726,1925870,21.11, 
12-Feb-2021,INDUSINDBK,EQ,1021.9,1023.8,1059.5,1012.0,1025.1,1027.4,1042.58,13959383,14553772998.2,258960,2274170,16.29, 
11-Feb-2021,INDUSINDBK,EQ,1022.8,1025.0,1036.0,1015.3,1022.3,1021.9,1023.01,5760021,5892568187.85,138543,796722,13.83, 
10-Feb-2021,INDUSINDBK,EQ,1025.8,1035.0,1038.45,1003.6,1027.0,1022.8,1017.51,7815034,7951912141.15,156341,1390143,17.79, 
09-Feb-2021,INDUSINDBK,EQ,1035.1,1044.0,1051.6,1020.0,1027.6,1025.8,1034.63,7984133,8260662389.45,134557,1526150,19.11, 
08-Feb-2021,INDUSINDBK,EQ,1025.1,1036.05,1055.0,1028.0,1037.9,1035.1,1042.33,7162284,7465438710.15,149679,1601145,22.36, 
05-Feb-2021,INDUSINDBK,EQ,1032.15,1045.0,1085.0,1016.3,1028.0,1025.1,1050.22,19524257,20504855240.55,354818,2762320,14.15, 
04-Feb-2021,INDUSINDBK,EQ,1048.55,1034.9,1042.0,1016.0,1031.95,1032.15,1027.56,13666242,14042848100.3,265426,2650425,19.39, 
03-Feb-2021,INDUSINDBK,EQ,975.65,980.0,1080.8,972.2,1046.8,1048.55,1048.01,34995822,36676142245.7,623053,3874773,11.07, 
02-Feb-2021,INDUSINDBK,EQ,970.6,982.4,999.0,949.3,974.4,975.65,974.04,20556081,20022417915.1,322322,3550263,17.27, 
01-Feb-2021,INDUSINDBK,EQ,846.1,859.0,981.4,856.0,974.2,970.6,931.95,38067807,35477125316.75,553461,8238936,21.64, 
29-Jan-2021,INDUSINDBK,EQ,802.6,817.1,860.85,815.65,851.9,846.1,841.17,19305853,16239566007.35,303704,2482560,12.86, 
28-Jan-2021,INDUSINDBK,EQ,820.15,801.3,828.85,789.0,805.0,802.6,808.52,13789865,11149349427.3,242130,3369450,24.43, 
27-Jan-2021,INDUSINDBK,EQ,849.15,848.0,860.8,806.0,815.0,820.15,830.88,15810173,13136388039.05,281856,5487109,34.71, 
25-Jan-2021,INDUSINDBK,EQ,893.3,906.0,912.35,839.2,844.0,849.15,872.56,11829328,10321845122.55,217151,3633583,30.72, 
22-Jan-2021,INDUSINDBK,EQ,925.85,930.0,934.0,890.0,893.0,893.3,913.76,11366492,10386230848.2,200383,3147521,27.69, 
21-Jan-2021,INDUSINDBK,EQ,947.7,959.4,967.0,918.25,929.9,925.85,950.04,8216362,7805879676.95,147764,2580993,31.41, 
20-Jan-2021,INDUSINDBK,EQ,939.9,936.9,953.85,928.25,946.85,947.7,943.82,7004445,6610945192.1,106295,1504559,21.48, 
19-Jan-2021,INDUSINDBK,EQ,932.8,942.05,952.0,936.25,940.15,939.9,943.67,6309233,5953860122.2,102367,2192991,34.76, 
18-Jan-2021,INDUSINDBK,EQ,965.9,959.0,960.0,924.0,926.0,932.8,937.24,10668611,9999088113.1,150608,3661410,34.32, 
15-Jan-2021,INDUSINDBK,EQ,969.7,974.0,983.0,953.45,967.25,965.9,966.63,9195430,8888592660.95,162177,1835072,19.96, 
14-Jan-2021,INDUSINDBK,EQ,942.75,953.0,980.7,951.25,971.05,969.7,971.06,14887258,14456370775.05,242517,2807875,18.86, 
13-Jan-2021,INDUSINDBK,EQ,927.65,932.8,953.5,926.15,942.15,942.75,941.56,9473962,8920306699.85,139743,1456035,15.37, 
12-Jan-2021,INDUSINDBK,EQ,929.1,920.0,941.5,906.55,925.0,927.65,923.61,8805330,8132702190.9,142400,1379773,15.67, 
11-Jan-2021,INDUSINDBK,EQ,939.8,942.9,950.95,926.2,928.9,929.1,934.63,8419415,7869049947.55,141817,2766434,32.86, 
08-Jan-2021,INDUSINDBK,EQ,952.05,965.0,976.0,932.1,936.75,939.8,955.87,10838196,10359953762.4,160280,3061063,28.24, 
07-Jan-2021,INDUSINDBK,EQ,922.35,935.0,961.65,931.1,952.4,952.05,948.74,12154311,11531283563.55,210193,2793607,22.98, 
06-Jan-2021,INDUSINDBK,EQ,921.65,924.95,936.75,909.4,918.0,922.35,925.04,9768197,9035931742.1,158353,1992612,20.4, 
05-Jan-2021,INDUSINDBK,EQ,897.85,891.7,927.35,883.0,921.8,921.65,908.87,11907501,10822327907.15,176324,2248543,18.88, 
04-Jan-2021,INDUSINDBK,EQ,900.15,910.0,914.0,887.45,897.7,897.85,901.93,6991890,6306166722.4,115454,1232068,17.62, 
01-Jan-2021,INDUSINDBK,EQ,894.95,895.0,904.0,893.05,901.15,900.15,899.82,4632855,4168730867.45,64207,681808,14.72, 
31-Dec-2020,INDUSINDBK,EQ,899.05,904.0,906.9,890.05,893.0,894.95,899.18,6435333,5786495205.35,118970,880228,13.68, 
30-Dec-2020,INDUSINDBK,EQ,912.9,919.05,922.7,888.0,899.45,899.05,902.15,11462263,10340660508.45,180536,1303510,11.37, 
29-Dec-2020,INDUSINDBK,EQ,866.95,875.0,917.65,873.5,916.5,912.9,901.22,20727636,18680237101.8,343322,3268383,15.77, 
28-Dec-2020,INDUSINDBK,EQ,852.8,855.0,871.0,853.0,870.5,866.95,865.26,5449095,4714880019.1,96487,803233,14.74, 
24-Dec-2020,INDUSINDBK,EQ,855.35,862.0,870.0,849.1,850.95,852.8,859.32,10293688,8845552999.0,157849,2758347,26.8, 
23-Dec-2020,INDUSINDBK,EQ,840.7,841.95,861.95,832.75,860.8,855.35,851.34,12353093,10516690244.35,164938,3110486,25.18, 
22-Dec-2020,INDUSINDBK,EQ,842.7,842.7,857.5,813.65,839.75,840.7,832.98,21961153,18293199667.05,330644,5521130,25.14, 
21-Dec-2020,INDUSINDBK,EQ,905.2,905.2,906.0,814.7,834.0,842.7,863.42,18106992,15634009948.05,323247,3688115,20.37, 
18-Dec-2020,INDUSINDBK,EQ,935.8,935.8,937.5,887.55,906.75,905.2,907.85,14605713,13259849964.25,221497,2684475,18.38, 
17-Dec-2020,INDUSINDBK,EQ,921.8,914.0,948.0,914.0,937.95,935.8,937.98,14078222,13205134801.75,221021,2990762,21.24, 
16-Dec-2020,INDUSINDBK,EQ,926.75,932.0,937.75,915.0,917.9,921.8,928.73,6068477,5635999601.25,126850,1826760,30.1, 
15-Dec-2020,INDUSINDBK,EQ,921.25,923.0,931.4,908.45,926.5,926.75,920.29,7646858,7037348472.05,117661,1302472,17.03, 
14-Dec-2020,INDUSINDBK,EQ,923.75,927.0,935.0,918.05,920.65,921.25,927.76,5936096,5507285269.6,107627,961735,16.2, 
11-Dec-2020,INDUSINDBK,EQ,915.85,916.75,933.35,915.1,923.0,923.75,925.38,8417189,7789082191.3,123723,1427478,16.96, 
10-Dec-2020,INDUSINDBK,EQ,928.5,917.95,927.0,905.0,916.0,915.85,913.42,9145597,8353776743.0,129415,1380329,15.09, 
09-Dec-2020,INDUSINDBK,EQ,916.7,930.0,938.5,918.7,927.05,928.5,928.38,7937423,7368950728.5,117587,899685,11.33, 
08-Dec-2020,INDUSINDBK,EQ,935.15,937.05,938.75,907.1,918.5,916.7,919.49,13141739,12083720525.35,183996,2947648,22.43, 
07-Dec-2020,INDUSINDBK,EQ,913.65,915.0,953.5,913.2,933.3,935.15,935.74,15479752,14485087851.1,216909,2124946,13.73, 
04-Dec-2020,INDUSINDBK,EQ,896.25,902.5,920.0,889.8,916.25,913.65,905.17,12658012,11457596767.55,176834,1914406,15.12, 
03-Dec-2020,INDUSINDBK,EQ,897.3,900.1,907.9,890.5,897.0,896.25,900.35,9724314,8755309107.65,158400,1323280,13.61, 
02-Dec-2020,INDUSINDBK,EQ,895.5,902.0,905.75,881.3,895.5,897.3,894.56,14965085,13387182765.55,227625,1149173,7.68, 
01-Dec-2020,INDUSINDBK,EQ,857.65,863.0,900.0,858.1,900.0,895.5,881.48,14690547,12949391326.95,219225,1851697,12.6, 
27-Nov-2020,INDUSINDBK,EQ,850.55,856.0,862.45,848.55,859.0,857.65,855.57,10212987,8737966898.35,132563,1174673,11.5, 
26-Nov-2020,INDUSINDBK,EQ,855.05,857.0,860.8,835.0,854.0,850.55,846.88,16934720,14341734995.7,241214,1611553,9.52, 
25-Nov-2020,INDUSINDBK,EQ,853.7,863.6,874.9,845.25,848.0,855.05,859.49,24215222,20812722428.75,308715,2784674,11.5, 
24-Nov-2020,INDUSINDBK,EQ,849.75,852.0,860.95,836.3,855.5,853.7,848.37,19828772,16822059675.45,258061,3092798,15.6, 
23-Nov-2020,INDUSINDBK,EQ,811.0,836.0,880.9,832.5,841.7,849.75,853.96,39219488,33491902674.2,536483,3342125,8.52, 
20-Nov-2020,INDUSINDBK,EQ,818.0,818.1,829.9,788.8,806.0,811.0,807.93,25424060,20540832800.25,326867,2667634,10.49, 
19-Nov-2020,INDUSINDBK,EQ,828.3,816.0,845.9,804.2,812.35,818.0,825.74,29797661,24605017302.85,373372,4751637,15.95, 
18-Nov-2020,INDUSINDBK,EQ,784.15,780.0,834.0,775.0,830.5,828.3,808.25,25491255,20603296157.65,307834,3895904,15.28, 
17-Nov-2020,INDUSINDBK,EQ,770.45,777.9,793.75,772.25,784.6,784.15,784.28,14873173,11664692122.9,216733,1971407,13.25, 
14-Nov-2020,INDUSINDBK,EQ,768.55,776.6,785.0,757.45,766.05,770.45,775.93,3253864,2524768595.15,53077,501956,15.43, 
13-Nov-2020,INDUSINDBK,EQ,769.2,760.05,774.7,741.75,766.95,768.55,758.42,25472191,19318529196.3,338334,2497014,9.8, 
12-Nov-2020,INDUSINDBK,EQ,787.95,790.0,802.85,761.8,767.5,769.2,775.09,28387177,22002629973.15,387904,2891707,10.19, 
11-Nov-2020,INDUSINDBK,EQ,835.2,839.0,839.05,752.5,791.25,787.95,794.15,51561819,40948049790.6,687502,4862526,9.43, 
10-Nov-2020,INDUSINDBK,EQ,775.45,784.0,870.0,783.0,832.0,835.2,827.12,59758713,49427477216.35,688260,6417913,10.74, 
09-Nov-2020,INDUSINDBK,EQ,738.65,746.05,780.5,735.05,775.05,775.45,756.35,28036644,21205552759.8,346033,3608753,12.87, 
06-Nov-2020,INDUSINDBK,EQ,714.4,714.75,747.0,707.0,736.5,738.65,727.73,29896664,21756576889.6,342668,3792985,12.69, 
