Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,JSWSTEEL,EQ,407.65,408.1,408.4,390.95,398.3,395.65,400.43,4527644,1812999205.2,41153,685403,15.14, 
18-Feb-2021,JSWSTEEL,EQ,408.7,410.0,414.75,406.0,407.15,407.65,408.95,5889983,2408691556.75,50556,1873460,31.81, 
17-Feb-2021,JSWSTEEL,EQ,407.65,406.35,411.0,401.0,408.05,408.7,406.38,5486323,2229536037.25,48189,1135997,20.71, 
16-Feb-2021,JSWSTEEL,EQ,403.7,403.7,421.9,403.7,406.3,407.65,413.92,10594928,4385478484.15,104314,1088682,10.28, 
15-Feb-2021,JSWSTEEL,EQ,403.8,405.1,407.85,401.0,402.6,403.7,404.62,4678133,1892889388.2,41254,1111379,23.76, 
12-Feb-2021,JSWSTEEL,EQ,408.85,407.85,410.9,402.6,403.05,403.8,406.52,4667663,1897481674.7,39630,1391336,29.81, 
11-Feb-2021,JSWSTEEL,EQ,410.75,408.2,415.5,404.95,407.8,408.85,409.85,3598146,1474698068.65,38091,571033,15.87, 
10-Feb-2021,JSWSTEEL,EQ,406.45,410.0,413.95,400.0,408.6,410.75,407.37,8008124,3262293706.1,76048,1075432,13.43, 
09-Feb-2021,JSWSTEEL,EQ,417.65,417.0,420.0,401.85,408.0,406.45,412.41,7961747,3283509676.75,78448,1259091,15.81, 
08-Feb-2021,JSWSTEEL,EQ,402.2,404.55,419.25,401.2,416.25,417.65,411.42,9008722,3706352176.95,83516,1628712,18.08, 
05-Feb-2021,JSWSTEEL,EQ,400.3,403.0,406.6,389.15,402.85,402.2,400.05,9008833,3604014513.15,76433,949189,10.54, 
04-Feb-2021,JSWSTEEL,EQ,392.9,392.9,402.0,390.45,400.9,400.3,398.47,6283280,2503681334.7,59704,1773999,28.23, 
03-Feb-2021,JSWSTEEL,EQ,389.0,386.2,398.45,384.7,393.0,392.9,392.88,6063017,2382051214.4,57075,861362,14.21, 
02-Feb-2021,JSWSTEEL,EQ,380.85,384.65,391.7,376.7,389.0,389.0,384.76,7450391,2866634152.1,62118,1398475,18.77, 
01-Feb-2021,JSWSTEEL,EQ,366.85,366.5,384.4,363.65,381.0,380.85,372.21,6141212,2285828450.3,62448,884581,14.4, 
29-Jan-2021,JSWSTEEL,EQ,376.3,382.05,382.55,363.2,365.3,366.85,372.53,7981367,2973327710.3,66969,2107988,26.41, 
28-Jan-2021,JSWSTEEL,EQ,376.25,371.0,380.85,369.6,375.35,376.3,374.3,6969457,2608654308.0,68667,1449765,20.8, 
27-Jan-2021,JSWSTEEL,EQ,382.45,380.6,382.0,371.55,374.0,376.25,377.59,8576326,3238297905.15,93894,1791799,20.89, 
25-Jan-2021,JSWSTEEL,EQ,375.4,388.0,394.95,371.45,382.55,382.45,382.91,17874949,6844479668.05,164936,1588855,8.89, 
22-Jan-2021,JSWSTEEL,EQ,393.3,396.0,397.45,372.2,377.7,375.4,383.8,8779405,3369528678.4,74367,1056405,12.03, 
21-Jan-2021,JSWSTEEL,EQ,400.9,402.5,405.0,388.95,396.0,393.3,397.14,7085945,2814106355.95,67730,917861,12.95, 
20-Jan-2021,JSWSTEEL,EQ,395.4,395.0,402.9,393.45,398.4,400.9,399.16,5604951,2237274967.0,49112,1455566,25.97, 
19-Jan-2021,JSWSTEEL,EQ,383.1,386.2,397.75,381.6,395.65,395.4,390.2,5842513,2279774750.2,55051,827852,14.17, 
18-Jan-2021,JSWSTEEL,EQ,394.2,393.5,394.0,375.5,377.45,383.1,382.88,10605461,4060616120.4,80269,4135365,38.99, 
15-Jan-2021,JSWSTEEL,EQ,396.4,398.0,402.55,391.2,394.3,394.2,396.53,7329969,2906578445.6,67977,930399,12.69, 
14-Jan-2021,JSWSTEEL,EQ,402.95,404.35,405.65,394.0,396.25,396.4,396.82,4886430,1939048392.5,60697,948104,19.4, 
13-Jan-2021,JSWSTEEL,EQ,399.55,401.55,407.4,394.15,401.8,402.95,402.64,6885599,2772392927.0,56926,1044783,15.17, 
12-Jan-2021,JSWSTEEL,EQ,399.05,398.95,412.95,397.05,398.6,399.55,405.37,6708618,2719496397.15,58096,883596,13.17, 
11-Jan-2021,JSWSTEEL,EQ,402.85,402.85,404.95,392.65,399.7,399.05,397.91,4822618,1918982186.55,48223,868394,18.01, 
08-Jan-2021,JSWSTEEL,EQ,405.4,410.3,410.45,398.5,402.1,402.85,404.96,7559664,3061369726.9,96666,1978015,26.17, 
07-Jan-2021,JSWSTEEL,EQ,401.7,404.0,413.1,403.15,404.45,405.4,408.45,10231006,4178897036.4,121482,2081830,20.35, 
06-Jan-2021,JSWSTEEL,EQ,395.25,397.2,407.35,395.75,400.5,401.7,400.59,7910567,3168886195.65,75979,812527,10.27, 
05-Jan-2021,JSWSTEEL,EQ,403.1,400.0,401.0,391.6,395.55,395.25,395.93,6190435,2450996305.1,61887,809722,13.08, 
04-Jan-2021,JSWSTEEL,EQ,389.7,392.0,405.1,391.1,403.65,403.1,398.3,8872723,3533984542.65,71672,1014504,11.43, 
01-Jan-2021,JSWSTEEL,EQ,387.2,387.25,391.5,384.6,388.5,389.7,388.46,4461761,1733204773.85,37517,361794,8.11, 
31-Dec-2020,JSWSTEEL,EQ,386.1,385.9,393.9,383.0,386.0,387.2,388.1,7375061,2862267525.15,68132,1071488,14.53, 
30-Dec-2020,JSWSTEEL,EQ,381.8,382.8,387.9,378.65,385.2,386.1,382.75,4637174,1774884095.5,50463,511117,11.02, 
29-Dec-2020,JSWSTEEL,EQ,386.6,389.65,389.65,378.1,381.1,381.8,383.0,8144640,3119434721.15,71337,790180,9.7, 
28-Dec-2020,JSWSTEEL,EQ,366.25,369.7,389.0,368.8,387.6,386.6,380.2,11720459,4456122764.0,91371,1569750,13.39, 
24-Dec-2020,JSWSTEEL,EQ,366.85,367.9,378.95,365.0,366.5,366.25,371.69,8104991,3012580850.3,64943,1123259,13.86, 
23-Dec-2020,JSWSTEEL,EQ,361.95,361.0,367.7,357.75,366.85,366.85,363.74,4499725,1636727008.9,42208,531606,11.81, 
22-Dec-2020,JSWSTEEL,EQ,353.5,353.75,364.0,346.15,361.35,361.95,356.53,7273802,2593302697.85,59302,1178830,16.21, 
21-Dec-2020,JSWSTEEL,EQ,364.2,361.6,368.4,344.0,350.9,353.5,358.67,7345501,2634619909.65,52864,1636296,22.28, 
18-Dec-2020,JSWSTEEL,EQ,366.2,368.3,368.95,357.7,363.2,364.2,363.84,5666541,2061704453.35,48177,1203531,21.24, 
17-Dec-2020,JSWSTEEL,EQ,370.6,369.95,373.35,364.05,365.55,366.2,368.93,4501529,1660769617.0,44025,1041849,23.14, 
16-Dec-2020,JSWSTEEL,EQ,365.9,370.0,372.5,364.5,370.6,370.6,368.39,7762252,2859506788.05,62178,1250105,16.1, 
15-Dec-2020,JSWSTEEL,EQ,357.5,358.0,367.0,353.5,366.4,365.9,360.53,5978528,2155433346.5,59127,927917,15.52, 
14-Dec-2020,JSWSTEEL,EQ,359.65,363.95,364.9,356.3,358.0,357.5,360.31,4927085,1775262509.15,42798,763413,15.49, 
11-Dec-2020,JSWSTEEL,EQ,362.3,363.6,366.7,357.6,359.05,359.65,362.09,4518654,1636153355.25,39606,491317,10.87, 
10-Dec-2020,JSWSTEEL,EQ,361.85,362.0,366.45,356.3,362.25,362.3,361.44,6429901,2324036616.6,46289,892583,13.88, 
09-Dec-2020,JSWSTEEL,EQ,362.65,368.0,368.25,359.1,362.0,361.85,362.65,6923848,2510959237.15,56400,838656,12.11, 
08-Dec-2020,JSWSTEEL,EQ,365.0,366.5,367.2,357.55,362.6,362.65,362.37,5311652,1924793621.4,48665,632801,11.91, 
07-Dec-2020,JSWSTEEL,EQ,370.4,370.8,373.2,362.3,365.5,365.0,366.74,6085158,2231682100.4,49993,972780,15.99, 
04-Dec-2020,JSWSTEEL,EQ,370.85,373.0,376.2,363.2,370.8,370.4,370.39,7570516,2804018665.95,59030,933563,12.33, 
03-Dec-2020,JSWSTEEL,EQ,368.4,370.0,374.3,367.7,370.55,370.85,371.28,7385497,2742064917.75,63109,2046517,27.71, 
02-Dec-2020,JSWSTEEL,EQ,358.15,357.0,370.75,356.05,367.45,368.4,365.95,11048627,4043203697.5,82423,1002249,9.07, 
01-Dec-2020,JSWSTEEL,EQ,350.2,354.5,359.0,351.85,357.6,358.15,355.51,6475456,2302073085.9,50624,1227413,18.95, 
