Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,NESTLEIND,EQ,16364.7,16430.0,16464.7,16212.95,16430.05,16376.4,16345.82,130275,2129451634.35,29439,52117,40.01, 
18-Feb-2021,NESTLEIND,EQ,16741.2,16756.0,16900.0,16300.0,16430.0,16364.7,16477.73,251066,4136996906.15,46881,131421,52.35, 
17-Feb-2021,NESTLEIND,EQ,17217.25,16900.0,16900.0,16350.0,16700.0,16741.2,16637.7,599343,9971688252.1,97399,235546,39.3, 
16-Feb-2021,NESTLEIND,EQ,17479.85,17555.0,17646.0,17139.1,17200.0,17217.25,17304.64,229774,3976155431.3,41851,99079,43.12, 
15-Feb-2021,NESTLEIND,EQ,17294.3,17349.0,17506.75,17258.05,17500.0,17479.85,17447.12,110119,1921258936.55,22833,69077,62.73, 
12-Feb-2021,NESTLEIND,EQ,17412.25,17410.1,17519.0,17240.0,17240.0,17294.3,17364.0,54528,946823997.65,11361,19973,36.63, 
11-Feb-2021,NESTLEIND,EQ,17177.35,17189.9,17447.45,17150.0,17396.1,17412.25,17344.0,65366,1133708016.4,14706,26401,40.39, 
10-Feb-2021,NESTLEIND,EQ,17318.95,17340.2,17436.8,17086.5,17215.0,17177.35,17222.24,116576,2007699735.6,31207,57516,49.34, 
09-Feb-2021,NESTLEIND,EQ,17218.2,17211.0,17510.0,17150.0,17336.2,17318.95,17381.32,121012,2103348150.35,26632,49255,40.7, 
08-Feb-2021,NESTLEIND,EQ,17115.75,17180.0,17284.9,17101.15,17192.0,17218.2,17208.48,121607,2092671979.8,27272,64563,53.09, 
05-Feb-2021,NESTLEIND,EQ,17074.0,17131.05,17167.2,17003.0,17110.0,17115.75,17073.4,98097,1674849753.45,20251,53189,54.22, 
04-Feb-2021,NESTLEIND,EQ,17166.4,17199.9,17226.95,17052.45,17078.0,17074.0,17108.27,92100,1575671976.6,25269,46645,50.65, 
03-Feb-2021,NESTLEIND,EQ,17190.3,17200.05,17289.0,17051.0,17121.0,17166.4,17176.91,112325,1929396794.35,20785,54510,48.53, 
02-Feb-2021,NESTLEIND,EQ,17087.7,17150.05,17350.0,17054.5,17185.0,17190.3,17213.21,130298,2242846639.9,22001,75065,57.61, 
01-Feb-2021,NESTLEIND,EQ,17060.0,17200.0,17275.7,17000.0,17139.0,17087.7,17109.82,84406,1444171140.9,23144,38293,45.37, 
29-Jan-2021,NESTLEIND,EQ,17387.65,17385.05,17467.85,16961.3,17150.0,17060.0,17224.84,112888,1944477791.55,21728,61667,54.63, 
28-Jan-2021,NESTLEIND,EQ,17538.1,17470.0,17520.0,17203.0,17306.0,17387.65,17395.49,89055,1549155556.6,24579,41369,46.45, 
27-Jan-2021,NESTLEIND,EQ,17415.25,17472.95,17597.7,17340.25,17525.0,17538.1,17482.26,66402,1160857052.9,17875,34045,51.27, 
25-Jan-2021,NESTLEIND,EQ,17589.6,17652.0,17700.0,17229.85,17400.0,17415.25,17359.48,116436,2021268562.15,27225,54140,46.5, 
22-Jan-2021,NESTLEIND,EQ,17716.3,17784.0,17882.3,17550.0,17639.0,17589.6,17691.35,98250,1738174989.85,26508,37495,38.16, 
21-Jan-2021,NESTLEIND,EQ,17681.3,17770.0,17900.0,17655.35,17752.9,17716.3,17771.31,70977,1261354098.25,20312,25060,35.31, 
20-Jan-2021,NESTLEIND,EQ,17754.7,17767.0,17940.0,17623.05,17682.0,17681.3,17752.99,73831,1310721300.0,18688,25443,34.46, 
19-Jan-2021,NESTLEIND,EQ,17630.7,17730.0,17820.5,17670.0,17770.5,17754.7,17743.87,62849,1115184514.05,12794,27178,43.24, 
18-Jan-2021,NESTLEIND,EQ,17834.0,17849.95,18074.0,17556.75,17599.95,17630.7,17820.53,120674,2150475038.65,25960,43336,35.91, 
15-Jan-2021,NESTLEIND,EQ,18132.6,18110.05,18249.0,17800.0,17855.0,17834.0,17986.44,96401,1733911181.2,23718,36623,37.99, 
14-Jan-2021,NESTLEIND,EQ,18019.3,18049.0,18229.4,18049.0,18109.6,18132.6,18129.19,58488,1060340270.85,15815,25889,44.26, 
13-Jan-2021,NESTLEIND,EQ,17999.1,18039.95,18275.0,17965.0,18015.0,18019.3,18094.19,109387,1979268816.75,24012,25898,23.68, 
12-Jan-2021,NESTLEIND,EQ,18391.45,18410.0,18439.95,17950.0,18000.0,17999.1,18097.99,141566,2562060731.35,34213,81815,57.79, 
11-Jan-2021,NESTLEIND,EQ,18306.25,18350.0,18545.85,18188.1,18410.0,18391.45,18358.02,114555,2103002869.2,31931,42643,37.22, 
08-Jan-2021,NESTLEIND,EQ,18127.3,18227.3,18350.0,18000.0,18302.1,18306.25,18153.68,151635,2752733293.3,36021,65679,43.31, 
07-Jan-2021,NESTLEIND,EQ,18515.25,18599.0,18615.0,18050.1,18137.0,18127.3,18244.28,120605,2200350821.3,28858,52368,43.42, 
06-Jan-2021,NESTLEIND,EQ,18558.25,18510.05,18600.0,18430.0,18490.05,18515.25,18506.03,57706,1067908952.95,16111,21979,38.09, 
05-Jan-2021,NESTLEIND,EQ,18377.95,18343.5,18620.0,18278.05,18598.1,18558.25,18475.31,83673,1545884545.5,19901,27260,32.58, 
04-Jan-2021,NESTLEIND,EQ,18450.7,18495.0,18630.0,18329.75,18396.55,18377.95,18449.23,62035,1144497688.2,15602,17411,28.07, 
01-Jan-2021,NESTLEIND,EQ,18390.25,18389.7,18520.0,18306.05,18425.0,18450.7,18434.26,50286,926985279.15,12539,9592,19.07, 
31-Dec-2020,NESTLEIND,EQ,18379.25,18278.05,18450.0,18257.5,18377.0,18390.25,18356.17,85442,1568388288.4,18546,31873,37.3, 
30-Dec-2020,NESTLEIND,EQ,18262.65,18399.5,18468.0,18230.0,18427.05,18379.25,18329.55,93654,1716635219.2,25109,32611,34.82, 
29-Dec-2020,NESTLEIND,EQ,18597.35,18620.0,18700.0,18175.4,18270.05,18262.65,18334.69,198714,3643359907.0,36966,92412,46.51, 
28-Dec-2020,NESTLEIND,EQ,18566.35,18844.0,18844.0,18520.0,18600.0,18597.35,18615.94,65357,1216681690.0,13526,18936,28.97, 
24-Dec-2020,NESTLEIND,EQ,18732.7,18612.2,18830.0,18372.6,18580.0,18566.35,18546.39,125437,2326404102.45,25355,38503,30.7, 
23-Dec-2020,NESTLEIND,EQ,18553.55,18555.05,18812.0,18514.95,18720.0,18732.7,18683.52,102845,1921506374.55,22942,26152,25.43, 
22-Dec-2020,NESTLEIND,EQ,18192.6,18200.0,18665.0,18000.0,18609.9,18553.55,18308.73,132774,2430923204.9,33400,39824,29.99, 
21-Dec-2020,NESTLEIND,EQ,18362.75,18262.75,18525.0,18101.0,18101.0,18192.6,18328.76,142222,2606752225.1,30855,38291,26.92, 
18-Dec-2020,NESTLEIND,EQ,18305.35,18395.0,18599.0,18158.0,18238.3,18362.75,18425.73,249790,4602563706.55,39197,106130,42.49, 
17-Dec-2020,NESTLEIND,EQ,18323.45,18338.0,18395.15,18136.8,18308.35,18305.35,18308.03,98104,1796090529.25,25132,36926,37.64, 
16-Dec-2020,NESTLEIND,EQ,18189.9,18398.0,18734.95,18250.15,18340.0,18323.45,18462.97,221607,4091523901.75,41641,53756,24.26, 
15-Dec-2020,NESTLEIND,EQ,18591.8,18460.3,18550.0,18130.85,18210.0,18189.9,18310.51,135755,2485743591.9,33060,58843,43.34, 
14-Dec-2020,NESTLEIND,EQ,18401.1,18354.7,18679.0,18300.0,18561.95,18591.8,18569.51,130713,2427276802.35,28893,29782,22.78, 
11-Dec-2020,NESTLEIND,EQ,18352.7,18300.0,18460.0,18200.0,18354.7,18401.1,18332.58,162941,2987128414.25,31963,45093,27.67, 
10-Dec-2020,NESTLEIND,EQ,17569.15,17607.0,18404.0,17562.2,18300.0,18352.7,18092.52,304461,5508466910.4,65291,83206,27.33, 
09-Dec-2020,NESTLEIND,EQ,17519.45,17543.6,17641.7,17481.15,17590.0,17569.15,17554.58,89503,1571187962.05,19537,47967,53.59, 
08-Dec-2020,NESTLEIND,EQ,17562.55,17674.0,17729.4,17386.25,17535.0,17519.45,17510.81,118699,2078516000.2,30881,51958,43.77, 
07-Dec-2020,NESTLEIND,EQ,17828.7,17651.0,17900.0,17449.85,17572.5,17562.55,17594.03,126030,2217376163.0,28304,50088,39.74, 
04-Dec-2020,NESTLEIND,EQ,17492.15,17550.0,17877.5,17520.0,17802.0,17828.7,17693.38,124700,2206364923.65,28942,53938,43.25, 
03-Dec-2020,NESTLEIND,EQ,17266.45,17450.0,17540.05,17316.0,17500.0,17492.15,17439.07,127275,2219557963.35,29190,57385,45.09, 
02-Dec-2020,NESTLEIND,EQ,17418.15,17418.15,17449.8,17150.0,17244.25,17266.45,17274.51,161952,2797641068.55,39684,73609,45.45, 
01-Dec-2020,NESTLEIND,EQ,17888.95,18067.8,18067.9,17331.55,17430.0,17418.15,17470.08,235086,4106971584.95,66204,100112,42.59, 
27-Nov-2020,NESTLEIND,EQ,17741.95,17850.0,18068.9,16949.75,16971.2,17888.95,17881.65,1106746,19790440996.45,87981,929598,83.99, 
26-Nov-2020,NESTLEIND,EQ,17520.2,17599.0,17839.0,17280.0,17750.0,17741.95,17503.23,145376,2544550073.6,30088,55190,37.96, 
25-Nov-2020,NESTLEIND,EQ,17677.6,17789.0,17789.0,17340.0,17457.15,17520.2,17495.98,106508,1863461431.1,24736,32375,30.4, 
24-Nov-2020,NESTLEIND,EQ,17786.4,17750.0,17971.2,17600.0,17635.0,17677.6,17789.68,214497,3815833733.35,36380,110883,51.69, 
23-Nov-2020,NESTLEIND,EQ,17460.4,17461.0,17848.9,17460.4,17717.45,17786.4,17728.1,202645,3592511161.0,38322,103387,51.02, 
20-Nov-2020,NESTLEIND,EQ,16934.15,17050.0,17500.0,16915.15,17400.0,17460.4,17373.27,254010,4412983849.2,55439,102374,40.3, 
19-Nov-2020,NESTLEIND,EQ,16872.6,16840.0,17200.0,16786.05,16924.8,16934.15,17072.47,180222,3076833850.25,34471,94078,52.2, 
18-Nov-2020,NESTLEIND,EQ,16982.85,16950.0,16969.4,16671.85,16800.0,16872.6,16812.71,144633,2431672110.35,39674,81272,56.19, 
17-Nov-2020,NESTLEIND,EQ,16838.15,16950.0,17065.85,16853.05,16975.0,16982.85,16972.72,119504,2028307956.9,31415,56090,46.94, 
