Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,NTPC,EQ,103.4,103.65,106.75,101.4,104.6,104.2,104.28,61069583,6368513820.8,160630,17244604,28.24, 
18-Feb-2021,NTPC,EQ,99.35,99.7,104.25,99.55,103.25,103.4,102.35,50705280,5189672527.9,138988,18254268,36.0, 
17-Feb-2021,NTPC,EQ,98.0,97.85,100.15,97.0,99.2,99.35,98.79,28774857,2842618271.1,69766,10292645,35.77, 
16-Feb-2021,NTPC,EQ,95.2,95.85,99.15,95.5,97.85,98.0,97.68,32865663,3210432832.9,71733,10888936,33.13, 
15-Feb-2021,NTPC,EQ,95.95,96.45,96.7,95.0,95.45,95.2,95.71,12574055,1203448240.4,41358,3731643,29.68, 
12-Feb-2021,NTPC,EQ,97.3,97.8,97.9,94.8,96.1,95.95,95.81,21660998,2075335575.45,72912,5917926,27.32, 
11-Feb-2021,NTPC,EQ,99.85,97.9,97.9,96.25,97.5,97.3,97.18,18452535,1793201079.0,72568,4892442,26.51, 
10-Feb-2021,NTPC,EQ,99.95,100.0,100.5,98.65,100.0,99.85,99.41,19070866,1895925866.15,64916,6794367,35.63, 
09-Feb-2021,NTPC,EQ,100.3,100.4,101.2,99.5,100.0,99.95,100.27,28074809,2815153928.85,71585,9881982,35.2, 
08-Feb-2021,NTPC,EQ,99.5,96.2,100.95,96.1,100.4,100.3,99.42,53737961,5342724199.95,141267,17728706,32.99, 
05-Feb-2021,NTPC,EQ,99.05,100.4,102.0,98.15,99.65,99.5,100.11,54911202,5497332394.7,151164,19613194,35.72, 
04-Feb-2021,NTPC,EQ,96.95,97.3,100.2,97.0,99.15,99.05,98.91,39264443,3883450417.75,118151,13836394,35.24, 
03-Feb-2021,NTPC,EQ,94.15,95.1,98.1,94.3,97.15,96.95,96.34,31420256,3027059579.35,99152,11616331,36.97, 
02-Feb-2021,NTPC,EQ,92.0,92.9,95.35,92.9,94.7,94.15,94.35,29279584,2762662627.65,73537,11276700,38.51, 
01-Feb-2021,NTPC,EQ,88.95,89.35,92.4,88.4,92.15,92.0,90.48,29033297,2626994018.45,95006,12043714,41.48, 
29-Jan-2021,NTPC,EQ,91.6,92.0,92.6,88.15,88.75,88.95,90.26,36962884,3336149544.2,96079,19340797,52.32, 
28-Jan-2021,NTPC,EQ,91.3,90.8,92.65,90.35,91.75,91.6,91.26,32227832,2941247566.95,97420,11534238,35.79, 
27-Jan-2021,NTPC,EQ,93.2,93.0,93.1,90.8,91.4,91.3,91.79,22812859,2093920926.05,65826,8229259,36.07, 
25-Jan-2021,NTPC,EQ,94.05,95.05,95.3,92.7,93.25,93.2,93.77,18599824,1744027154.85,58083,6564629,35.29, 
22-Jan-2021,NTPC,EQ,96.1,96.3,96.5,92.9,94.6,94.05,94.44,26029669,2458112372.1,90196,8535914,32.79, 
