Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,ONGC,EQ,110.7,110.7,112.2,103.85,105.1,105.1,108.7,48225988,5242129567.15,180663,11983600,24.85, 
18-Feb-2021,ONGC,EQ,102.25,103.7,115.5,103.35,110.05,110.7,109.74,110000964,12071348507.85,355787,23336185,21.21, 
17-Feb-2021,ONGC,EQ,103.75,102.0,103.5,100.8,101.95,102.25,102.45,21014091,2152942169.2,77475,6763640,32.19, 
16-Feb-2021,ONGC,EQ,98.45,99.25,104.85,99.25,103.35,103.75,103.22,76236798,7868996147.1,280197,22206350,29.13, 
15-Feb-2021,ONGC,EQ,97.0,97.0,99.25,95.6,98.5,98.45,97.62,26118576,2549771841.55,105502,6716208,25.71, 
12-Feb-2021,ONGC,EQ,99.45,98.9,99.4,96.55,97.0,97.0,97.56,18187705,1774355259.25,76650,8010421,44.04, 
11-Feb-2021,ONGC,EQ,100.0,100.0,100.35,98.9,99.4,99.45,99.46,11287104,1122619909.45,49472,3605713,31.95, 
10-Feb-2021,ONGC,EQ,101.0,102.0,102.5,98.6,100.1,100.0,100.38,21467230,2154908403.4,86975,5999403,27.95, 
09-Feb-2021,ONGC,EQ,99.65,99.8,103.35,99.8,101.15,101.0,102.08,39638657,4046372301.5,155055,13342238,33.66, 
08-Feb-2021,ONGC,EQ,97.65,99.5,100.8,99.1,99.5,99.65,99.94,29096831,2908045975.15,155984,12204252,41.94, 
05-Feb-2021,ONGC,EQ,97.65,98.95,99.95,96.8,97.8,97.65,98.33,30514219,3000479500.85,112662,9313715,30.52, 
04-Feb-2021,ONGC,EQ,93.35,94.25,98.6,94.0,97.8,97.65,97.33,49670027,4834421113.15,191374,11908608,23.98, 
03-Feb-2021,ONGC,EQ,92.85,94.6,95.3,93.0,93.55,93.35,93.69,25912911,2427678684.3,93356,7064855,27.26, 
02-Feb-2021,ONGC,EQ,90.85,92.5,93.95,91.2,93.3,92.85,92.53,22141489,2048669158.0,99290,6315272,28.52, 
01-Feb-2021,ONGC,EQ,88.3,89.0,91.2,88.45,90.95,90.85,89.9,24228098,2178061225.45,101167,8871835,36.62, 
29-Jan-2021,ONGC,EQ,90.65,90.75,92.95,87.75,89.25,88.3,90.22,33858273,3054588198.8,109804,14621340,43.18, 
28-Jan-2021,ONGC,EQ,89.7,89.0,91.4,88.8,90.65,90.65,90.31,26810222,2421123839.85,94075,6283629,23.44, 
27-Jan-2021,ONGC,EQ,91.35,91.4,91.75,88.9,89.95,89.7,90.09,34022621,3065028255.4,118857,14586746,42.87, 
25-Jan-2021,ONGC,EQ,92.75,93.05,93.75,90.0,92.0,91.35,91.38,28522112,2606448104.55,122623,7747885,27.16, 
22-Jan-2021,ONGC,EQ,94.7,94.6,95.45,92.5,92.95,92.75,93.78,27311961,2561345553.4,103612,7333510,26.85, 
21-Jan-2021,ONGC,EQ,98.85,99.05,100.2,93.9,95.55,94.7,97.02,26939349,2613737074.1,111539,10693803,39.7, 
20-Jan-2021,ONGC,EQ,98.1,99.0,99.8,97.85,98.5,98.85,98.72,18486566,1824913343.75,69775,5114986,27.67, 
19-Jan-2021,ONGC,EQ,96.65,97.75,99.0,97.5,98.35,98.1,98.18,26085121,2561139981.55,80794,10331990,39.61, 
18-Jan-2021,ONGC,EQ,101.4,101.4,101.85,96.05,96.4,96.65,97.69,33623461,3284692402.65,125844,9945497,29.58, 
15-Jan-2021,ONGC,EQ,105.05,105.25,106.1,100.65,101.8,101.4,103.08,28185982,2905432579.35,115300,8251082,29.27, 
14-Jan-2021,ONGC,EQ,105.25,107.0,107.45,104.2,105.1,105.05,105.51,24455634,2580232101.55,107246,6966082,28.48, 
13-Jan-2021,ONGC,EQ,103.45,104.95,107.9,104.1,105.5,105.25,106.34,42401579,4509101656.25,139396,9519775,22.45, 
12-Jan-2021,ONGC,EQ,102.55,102.0,104.5,100.75,103.45,103.45,103.36,28353142,2930497103.35,98468,8556438,30.18, 
11-Jan-2021,ONGC,EQ,100.65,101.5,102.9,98.05,102.4,102.55,101.21,36301647,3674208739.2,116192,12539376,34.54, 
08-Jan-2021,ONGC,EQ,97.9,98.95,101.3,98.55,100.45,100.65,99.77,36022114,3594084430.9,94894,16328774,45.33, 
07-Jan-2021,ONGC,EQ,96.95,98.0,99.05,97.1,98.0,97.9,98.1,25285200,2480422263.25,80331,8059823,31.88, 
06-Jan-2021,ONGC,EQ,94.95,98.9,99.3,96.25,96.95,96.95,97.84,50306161,4921986593.35,150227,10764561,21.4, 
05-Jan-2021,ONGC,EQ,96.95,96.5,96.5,94.35,95.05,94.95,94.92,26998014,2562753176.55,87153,8182949,30.31, 
04-Jan-2021,ONGC,EQ,93.2,94.05,97.3,93.7,97.0,96.95,95.89,39545073,3791851855.6,138473,10572437,26.74, 
