Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,RELIANCE,EQ,2067.7,2057.0,2104.95,2053.3,2080.0,2080.3,2088.14,10800704,22553356631.0,279181,3029362,28.05, 
18-Feb-2021,RELIANCE,EQ,2083.25,2085.0,2108.4,2059.1,2063.5,2067.7,2085.18,8605531,17944045241.05,228157,2460456,28.59, 
17-Feb-2021,RELIANCE,EQ,2059.5,2060.0,2095.95,2050.6,2079.2,2083.25,2076.99,10957388,22758423346.25,257784,2784713,25.41, 
16-Feb-2021,RELIANCE,EQ,2032.6,2039.75,2079.4,2035.0,2058.5,2059.5,2061.23,9886093,20377537336.5,274329,2429172,24.57, 
15-Feb-2021,RELIANCE,EQ,2041.6,2048.05,2061.3,2025.0,2034.0,2032.6,2043.13,7287590,14889502308.25,222500,1339156,18.38, 
12-Feb-2021,RELIANCE,EQ,2055.7,2055.5,2078.0,2015.4,2040.0,2041.6,2049.91,14074374,28851163932.35,369938,2446469,17.38, 
11-Feb-2021,RELIANCE,EQ,1974.3,1980.0,2064.2,1972.25,2061.8,2055.7,2028.11,19631870,39815594030.25,546129,5981796,30.47, 
10-Feb-2021,RELIANCE,EQ,1956.15,1953.75,1984.75,1927.3,1980.35,1974.3,1955.63,9799560,19164292386.25,288994,3630351,37.05, 
09-Feb-2021,RELIANCE,EQ,1951.45,1961.95,1989.6,1952.3,1954.5,1956.15,1974.29,9047308,17861994119.3,254384,3417112,37.77, 
08-Feb-2021,RELIANCE,EQ,1923.75,1933.05,1969.0,1929.05,1951.4,1951.45,1954.84,9776136,19110816694.8,287247,3553415,36.35, 
05-Feb-2021,RELIANCE,EQ,1924.3,1930.05,1944.65,1920.0,1924.3,1923.75,1929.36,9344470,18028883267.5,263144,3564531,38.15, 
04-Feb-2021,RELIANCE,EQ,1930.65,1924.0,1940.0,1905.0,1921.5,1924.3,1923.71,11826848,22751381754.25,332784,5411559,45.76, 
03-Feb-2021,RELIANCE,EQ,1925.8,1928.3,1952.0,1900.0,1928.5,1930.65,1931.87,13984228,27015673442.65,345625,4832689,34.56, 
02-Feb-2021,RELIANCE,EQ,1895.3,1914.25,1940.0,1854.95,1936.0,1925.8,1889.81,19138414,36168052850.9,561567,7369471,38.51, 
01-Feb-2021,RELIANCE,EQ,1841.95,1859.4,1905.0,1848.0,1898.15,1895.3,1874.03,15774504,29561820671.2,370120,7864911,49.86, 
29-Jan-2021,RELIANCE,EQ,1876.55,1894.3,1913.1,1830.0,1844.95,1841.95,1871.72,20173258,37758612331.5,472678,9106845,45.14, 
28-Jan-2021,RELIANCE,EQ,1895.0,1880.15,1923.3,1870.0,1876.35,1876.55,1895.32,15722291,29798806093.7,446576,4697008,29.87, 
27-Jan-2021,RELIANCE,EQ,1941.0,1925.0,1925.0,1888.0,1890.0,1895.0,1904.59,19553809,37241980448.4,637355,9587173,49.03, 
