Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,SBIN,EQ,415.2,415.0,415.0,395.0,400.6,399.55,405.06,66155518,26797082795.65,479710,15537879,23.49, 
18-Feb-2021,SBIN,EQ,411.75,425.05,427.7,413.7,415.25,415.2,419.02,67154539,28138820418.0,583049,15846238,23.6, 
17-Feb-2021,SBIN,EQ,402.35,403.0,414.85,400.15,413.4,411.75,410.54,74161370,30446129688.4,499222,13131429,17.71, 
16-Feb-2021,SBIN,EQ,406.95,412.0,415.75,400.3,402.9,402.35,407.39,80365431,32739856842.5,574557,17910995,22.29, 
15-Feb-2021,SBIN,EQ,393.15,397.5,409.45,395.7,409.0,406.95,403.08,56608937,22817866647.7,439746,14664959,25.91, 
12-Feb-2021,SBIN,EQ,390.15,391.0,399.35,385.55,392.95,393.15,392.34,53589755,21025151735.35,406441,7559236,14.11, 
11-Feb-2021,SBIN,EQ,392.25,391.8,396.95,388.25,390.9,390.15,391.61,36392708,14251581159.75,263431,5317852,14.61, 
10-Feb-2021,SBIN,EQ,394.8,394.05,397.9,388.0,393.15,392.25,392.67,54163507,21268236419.55,395057,11147782,20.58, 
09-Feb-2021,SBIN,EQ,397.05,396.75,403.5,389.0,393.6,394.8,396.65,63869990,25334226190.8,473516,11998829,18.79, 
08-Feb-2021,SBIN,EQ,393.1,398.0,407.8,394.75,395.85,397.05,400.46,79389205,31791940012.35,577218,17607498,22.18, 
05-Feb-2021,SBIN,EQ,355.1,387.0,408.35,385.15,395.0,393.1,397.71,214955688,85490825741.15,1155236,40372151,18.78, 
04-Feb-2021,SBIN,EQ,335.95,334.4,358.0,331.1,357.95,355.1,343.11,145203439,49821324982.7,799597,26685044,18.38, 
03-Feb-2021,SBIN,EQ,333.1,333.75,339.9,325.8,335.75,335.95,334.1,66420168,22190882737.05,464739,13550924,20.4, 
02-Feb-2021,SBIN,EQ,310.7,315.0,337.4,315.0,331.4,333.1,325.89,121434166,39573855924.2,696797,32088704,26.42, 
01-Feb-2021,SBIN,EQ,282.1,285.1,313.9,282.75,313.0,310.7,300.59,103414068,31085667892.6,571788,29428379,28.46, 
29-Jan-2021,SBIN,EQ,282.35,285.6,290.65,279.1,281.75,282.1,283.48,42300984,11991282593.15,257824,9905258,23.42, 
28-Jan-2021,SBIN,EQ,275.65,271.9,283.35,269.5,282.9,282.35,277.04,48717297,13496676252.6,280797,11729218,24.08, 
27-Jan-2021,SBIN,EQ,280.95,280.2,284.85,272.7,275.0,275.65,278.67,39211107,10926769347.95,275743,9156487,23.35, 
25-Jan-2021,SBIN,EQ,283.7,284.5,288.0,277.05,281.0,280.95,283.38,34034630,9644829100.75,246225,6123604,17.99, 
22-Jan-2021,SBIN,EQ,294.85,295.5,298.0,282.4,284.4,283.7,289.3,44440810,12856679880.75,287829,12528656,28.19, 
21-Jan-2021,SBIN,EQ,302.55,304.0,305.15,291.5,296.8,294.85,300.2,29995203,9004513072.45,214429,6169577,20.57, 
20-Jan-2021,SBIN,EQ,298.6,298.8,304.7,296.85,302.2,302.55,301.07,33759304,10163981891.75,215324,7439506,22.04, 
19-Jan-2021,SBIN,EQ,294.45,297.65,302.5,296.4,298.4,298.6,299.11,35803901,10709241852.55,226098,10094694,28.19, 
18-Jan-2021,SBIN,EQ,303.85,303.5,308.65,292.2,292.45,294.45,299.23,54969750,16448326413.65,332808,14155561,25.75, 
15-Jan-2021,SBIN,EQ,307.25,306.8,310.9,301.3,303.95,303.85,306.2,35307601,10811333841.95,277615,7294222,20.66, 
14-Jan-2021,SBIN,EQ,306.8,306.7,309.25,303.8,307.7,307.25,307.16,40123498,12324150077.5,244731,11711561,29.19, 
13-Jan-2021,SBIN,EQ,292.5,296.0,308.0,294.5,305.95,306.8,301.17,78042133,23503978223.25,413038,15723571,20.15, 
12-Jan-2021,SBIN,EQ,282.5,280.0,293.85,277.9,293.2,292.5,286.89,44307145,12711419183.25,275857,14782759,33.36, 
11-Jan-2021,SBIN,EQ,286.0,288.0,288.2,279.6,282.8,282.5,282.5,29703173,8391026797.05,209864,8900394,29.96, 
08-Jan-2021,SBIN,EQ,287.7,290.1,291.4,285.2,285.9,286.0,288.25,32543357,9380501388.85,169736,7276745,22.36, 
07-Jan-2021,SBIN,EQ,285.05,289.0,291.8,287.0,288.0,287.7,289.15,30546600,8832501855.1,183684,8560453,28.02, 
06-Jan-2021,SBIN,EQ,281.75,283.0,289.15,281.4,283.9,285.05,285.76,40765708,11649073628.1,224327,6201351,15.21, 
05-Jan-2021,SBIN,EQ,281.05,278.05,282.45,277.0,281.4,281.75,279.69,27393072,7661574303.75,155149,4984903,18.2, 
04-Jan-2021,SBIN,EQ,279.4,281.85,283.9,277.75,281.1,281.05,281.41,31450608,8850464058.45,171760,6521226,20.73, 
01-Jan-2021,SBIN,EQ,274.95,274.9,280.0,274.4,279.05,279.4,278.33,24531791,6827968257.8,141601,4783442,19.5, 
31-Dec-2020,SBIN,EQ,276.9,275.0,277.25,272.6,274.4,274.95,275.29,29467966,8112160541.95,183603,8782576,29.8, 
30-Dec-2020,SBIN,EQ,277.9,278.0,278.7,272.5,275.5,276.9,275.47,30971894,8531681482.45,163939,6530230,21.08, 
29-Dec-2020,SBIN,EQ,275.2,276.3,279.9,274.7,277.75,277.9,277.56,45032526,12499251233.65,237470,12390520,27.51, 
28-Dec-2020,SBIN,EQ,266.85,268.75,276.0,268.0,275.75,275.2,272.23,36870242,10037366708.4,203967,9995425,27.11, 
24-Dec-2020,SBIN,EQ,263.0,265.0,268.85,264.65,266.85,266.85,267.02,28585509,7632821262.6,167695,6820426,23.86, 
23-Dec-2020,SBIN,EQ,257.45,256.95,263.9,255.6,263.0,263.0,261.14,29056404,7587914568.9,171296,4792004,16.49, 
22-Dec-2020,SBIN,EQ,254.7,254.8,258.7,248.25,257.15,257.45,254.2,51189571,13012282126.8,288750,10781372,21.06, 
21-Dec-2020,SBIN,EQ,271.45,268.45,269.0,251.05,254.1,254.7,260.31,55160758,14358884778.05,311254,14528986,26.34, 
18-Dec-2020,SBIN,EQ,267.7,267.7,271.95,265.0,271.35,271.45,268.3,29816205,7999717685.9,159604,5872798,19.7, 
17-Dec-2020,SBIN,EQ,269.4,270.0,272.15,266.7,267.35,267.7,269.19,25904699,6973309847.65,146174,4320467,16.68, 
16-Dec-2020,SBIN,EQ,270.65,272.8,273.65,268.5,269.35,269.4,270.58,24844177,6722276269.8,150489,4406059,17.73, 
15-Dec-2020,SBIN,EQ,274.2,274.05,274.05,268.15,270.55,270.65,270.4,34890948,9434599246.05,207937,8591467,24.62, 
14-Dec-2020,SBIN,EQ,272.45,274.0,276.15,272.35,274.25,274.2,274.69,31946501,8775317446.6,200577,8886488,27.82, 
11-Dec-2020,SBIN,EQ,269.55,270.05,276.25,270.05,272.5,272.45,273.03,50255223,13720952520.25,219426,16618912,33.07, 
10-Dec-2020,SBIN,EQ,270.35,269.0,271.0,265.55,270.0,269.55,267.91,38676657,10362014086.65,191259,7139680,18.46, 
09-Dec-2020,SBIN,EQ,271.9,272.1,274.9,269.2,270.25,270.35,271.89,48495641,13185424469.75,224768,12794767,26.38, 
08-Dec-2020,SBIN,EQ,269.6,270.95,273.7,265.25,270.75,271.9,269.92,65617502,17711550023.25,288470,17627985,26.86, 
07-Dec-2020,SBIN,EQ,263.5,263.8,271.45,263.0,269.5,269.6,267.33,76053084,20331616535.05,298030,27751256,36.49, 
04-Dec-2020,SBIN,EQ,256.3,257.0,264.35,253.55,264.05,263.5,259.18,79252024,20540875199.5,332166,16466782,20.78, 
03-Dec-2020,SBIN,EQ,246.95,249.3,259.0,248.0,256.4,256.3,255.15,79266442,20224723033.4,361390,17214792,21.72, 
02-Dec-2020,SBIN,EQ,248.05,248.35,250.85,244.1,246.55,246.95,247.75,56723083,14052937533.8,221604,13306764,23.46, 
01-Dec-2020,SBIN,EQ,244.25,245.0,248.95,244.25,247.65,248.05,246.58,37003272,9124277406.45,186048,9607134,25.96, 
27-Nov-2020,SBIN,EQ,245.45,245.45,246.25,242.05,244.2,244.25,243.85,54355703,13254883891.45,222385,15981860,29.4, 
26-Nov-2020,SBIN,EQ,243.0,244.0,246.25,240.15,245.75,245.45,243.28,64248318,15630054754.3,241631,14919885,23.22, 
25-Nov-2020,SBIN,EQ,243.85,245.45,249.9,241.6,243.0,243.0,246.09,74767232,18399328359.55,306740,10185429,13.62, 
24-Nov-2020,SBIN,EQ,238.7,240.5,245.0,239.5,244.4,243.85,241.91,47636611,11523891298.65,238186,10573973,22.2, 
23-Nov-2020,SBIN,EQ,242.75,243.5,246.15,238.1,238.6,238.7,240.76,57538324,13852948129.8,258879,7663237,13.32, 
20-Nov-2020,SBIN,EQ,239.75,241.5,245.4,233.95,242.0,242.75,239.89,84411129,20249412551.5,371175,7680402,9.1, 
19-Nov-2020,SBIN,EQ,252.0,248.0,251.8,239.0,239.5,239.75,245.83,82284278,20227602702.85,402167,14617497,17.76, 
18-Nov-2020,SBIN,EQ,240.2,239.4,253.0,237.9,252.6,252.0,246.44,104514060,25755962167.5,481980,26494834,25.35, 
17-Nov-2020,SBIN,EQ,229.65,231.85,241.6,231.0,241.35,240.2,237.24,80501583,19098108752.8,338168,33754763,41.93, 
14-Nov-2020,SBIN,EQ,229.45,232.0,232.9,227.75,228.05,229.65,230.98,7753219,1790815411.35,73521,2345791,30.26, 
13-Nov-2020,SBIN,EQ,226.8,225.0,230.65,220.1,230.6,229.45,225.16,70676525,15913507649.45,301034,12034960,17.03, 
12-Nov-2020,SBIN,EQ,234.2,233.2,233.35,225.65,227.05,226.8,229.08,58859905,13483904990.15,308734,13767236,23.39, 
11-Nov-2020,SBIN,EQ,231.7,232.75,239.35,227.75,234.5,234.2,234.23,107094861,25084920764.45,449281,25884184,24.17, 
10-Nov-2020,SBIN,EQ,219.5,223.1,235.0,223.0,232.0,231.7,229.3,135294550,31022815639.25,595627,43102126,31.86, 
09-Nov-2020,SBIN,EQ,219.2,222.5,222.65,217.05,219.6,219.5,219.29,60359458,13236456721.05,250337,15432813,25.57, 
06-Nov-2020,SBIN,EQ,218.65,219.0,221.85,217.05,218.1,219.2,219.15,73147085,16030127116.3,292489,17965797,24.56, 
05-Nov-2020,SBIN,EQ,207.0,216.0,221.0,214.75,218.5,218.65,218.33,138023646,30134264560.6,568119,42166870,30.55, 
04-Nov-2020,SBIN,EQ,204.75,203.5,209.0,198.05,205.5,207.0,204.28,117577856,24018836837.15,486009,22915206,19.49, 
03-Nov-2020,SBIN,EQ,196.05,198.0,205.8,197.6,204.35,204.75,202.38,69890201,14144561716.95,338507,20827276,29.8, 
02-Nov-2020,SBIN,EQ,189.25,192.2,197.25,190.05,196.0,196.05,194.16,52600119,10212607734.4,254510,13993534,26.6, 
30-Oct-2020,SBIN,EQ,188.7,189.35,192.0,186.15,189.9,189.25,189.11,41520135,7851736168.45,186311,5649029,13.61, 
29-Oct-2020,SBIN,EQ,190.45,189.35,190.7,185.9,189.3,188.7,188.17,44823105,8434161790.9,238791,9344991,20.85, 
28-Oct-2020,SBIN,EQ,194.65,195.0,195.0,189.05,190.5,190.45,191.54,46462213,8899258778.8,259437,13448807,28.95, 
27-Oct-2020,SBIN,EQ,196.7,197.25,197.55,192.25,194.45,194.65,194.96,37802664,7370107440.55,177545,7079292,18.73, 
26-Oct-2020,SBIN,EQ,202.8,202.7,204.0,195.6,197.0,196.7,199.33,45471498,9063790088.9,213023,9472379,20.83, 
23-Oct-2020,SBIN,EQ,203.3,204.0,205.6,201.55,202.45,202.8,203.2,32708098,6646185985.65,143175,5408726,16.54, 
22-Oct-2020,SBIN,EQ,203.75,201.9,204.6,201.1,203.6,203.3,203.1,33721761,6849008785.65,156779,4734176,14.04, 
21-Oct-2020,SBIN,EQ,203.05,204.7,207.3,198.85,204.0,203.75,204.08,54516482,11125916902.65,248104,10918958,20.03, 
20-Oct-2020,SBIN,EQ,204.0,201.0,204.35,200.7,202.95,203.05,202.74,39317197,7970974966.9,175146,5620943,14.3, 
19-Oct-2020,SBIN,EQ,195.95,196.2,204.6,196.05,204.0,204.0,201.65,60223657,12143970659.9,323960,18100990,30.06, 
16-Oct-2020,SBIN,EQ,192.85,194.0,196.75,191.6,195.7,195.95,194.69,36894938,7182953742.75,191841,3907003,10.59, 
15-Oct-2020,SBIN,EQ,200.05,201.0,202.5,192.0,192.8,192.85,197.72,49184944,9724679563.25,238796,8926933,18.15, 
14-Oct-2020,SBIN,EQ,195.7,194.05,200.9,193.05,199.1,200.05,196.49,40550062,7967741511.6,198041,6204348,15.3, 
13-Oct-2020,SBIN,EQ,198.7,198.65,200.0,195.1,195.5,195.7,197.22,34949604,6892864749.45,182813,3878144,11.1, 
12-Oct-2020,SBIN,EQ,198.3,199.7,205.95,197.25,199.0,198.7,201.34,69125880,13917638044.9,331018,9531119,13.79, 
09-Oct-2020,SBIN,EQ,191.5,192.0,198.8,190.55,198.55,198.3,195.31,64908374,12677573594.2,277207,15862157,24.44, 
08-Oct-2020,SBIN,EQ,190.7,191.35,195.8,190.55,191.6,191.5,193.41,43351954,8384655371.45,203970,8628169,19.9, 
07-Oct-2020,SBIN,EQ,191.6,192.55,193.15,189.1,190.95,190.7,190.96,34578821,6603011330.2,150721,3793581,10.97, 
06-Oct-2020,SBIN,EQ,188.75,191.1,192.1,188.3,191.7,191.6,190.22,31098807,5915542214.6,161429,3397274,10.92, 
05-Oct-2020,SBIN,EQ,190.3,192.0,193.8,187.05,189.45,188.75,190.39,41694812,7938296340.85,184563,4440433,10.65, 
01-Oct-2020,SBIN,EQ,185.4,187.0,191.2,186.9,190.2,190.3,189.71,43589041,8269381207.05,195571,7861957,18.04, 
30-Sep-2020,SBIN,EQ,185.05,185.05,186.8,182.4,185.2,185.4,184.91,37642302,6960340645.75,159069,5421166,14.4, 
29-Sep-2020,SBIN,EQ,187.25,188.5,188.95,183.25,185.3,185.05,185.23,35688939,6610753974.95,146100,3785103,10.61, 
28-Sep-2020,SBIN,EQ,182.2,184.0,188.15,183.35,187.45,187.25,186.34,41921659,7811518827.55,195148,6606392,15.76, 
25-Sep-2020,SBIN,EQ,176.35,179.0,182.75,176.15,182.25,182.2,179.71,46550618,8365426528.3,213017,7170816,15.4, 
24-Sep-2020,SBIN,EQ,183.8,181.1,181.8,175.5,176.45,176.35,178.59,46115352,8235929439.45,286558,12700503,27.54, 
23-Sep-2020,SBIN,EQ,186.2,188.15,188.95,181.0,184.15,183.8,184.03,44321881,8156548114.3,233546,7118706,16.06, 
22-Sep-2020,SBIN,EQ,185.8,186.15,188.3,181.15,187.0,186.2,185.25,51216440,9487855529.45,278193,7158936,13.98, 
21-Sep-2020,SBIN,EQ,192.6,193.05,193.5,184.25,185.4,185.8,188.77,57614739,10876016397.25,311832,15185227,26.36, 
18-Sep-2020,SBIN,EQ,195.45,196.0,197.2,189.7,192.95,192.6,193.79,55286449,10713912925.6,263886,15739695,28.47, 
17-Sep-2020,SBIN,EQ,198.2,197.0,198.0,195.0,195.7,195.45,196.19,41226058,8087951751.5,297990,11413746,27.69, 
16-Sep-2020,SBIN,EQ,200.15,199.85,200.05,196.25,198.0,198.2,198.06,52407160,10379768431.4,348569,14578240,27.82, 
15-Sep-2020,SBIN,EQ,198.5,199.9,201.0,197.1,199.8,200.15,199.05,51762796,10303432695.25,193091,12873389,24.87, 
14-Sep-2020,SBIN,EQ,202.7,205.9,206.2,197.35,198.2,198.5,201.65,63606706,12826483294.95,299382,13449014,21.14, 
11-Sep-2020,SBIN,EQ,198.15,198.55,203.85,197.0,203.7,202.7,199.89,48488142,9692316825.55,233409,5201360,10.73, 
10-Sep-2020,SBIN,EQ,194.85,197.7,201.45,195.2,198.55,198.15,198.48,67790247,13455257099.1,305442,8109659,11.96, 
09-Sep-2020,SBIN,EQ,204.05,201.1,201.4,192.5,195.7,194.85,195.68,72716962,14229000658.7,414595,19860833,27.31, 
08-Sep-2020,SBIN,EQ,207.9,207.9,208.5,202.9,203.25,204.05,206.55,34147081,7052942372.8,168151,4865434,14.25, 
