Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,TATAMOTORS,EQ,323.85,321.95,321.95,301.4,312.45,311.85,313.32,80274683,25151576757.9,516227,11456545,14.27, 
18-Feb-2021,TATAMOTORS,EQ,330.15,331.5,331.75,321.1,323.0,323.85,327.39,49204247,16108957682.0,305338,10654511,21.65, 
17-Feb-2021,TATAMOTORS,EQ,329.2,326.9,334.25,325.45,329.7,330.15,329.78,52150941,17198462740.05,288923,5743645,11.01, 
16-Feb-2021,TATAMOTORS,EQ,333.35,335.45,337.9,327.5,329.0,329.2,331.95,65943843,21890304400.55,349911,8320793,12.62, 
15-Feb-2021,TATAMOTORS,EQ,325.4,329.9,335.8,324.0,331.9,333.35,329.83,78680452,25950795655.45,418089,8356395,10.62, 
12-Feb-2021,TATAMOTORS,EQ,325.0,326.4,330.5,321.25,324.55,325.4,326.36,64093642,20917450086.0,344490,4621930,7.21, 
11-Feb-2021,TATAMOTORS,EQ,328.9,326.45,331.35,323.4,324.9,325.0,326.77,55257166,18056563766.25,317814,6734537,12.19, 
10-Feb-2021,TATAMOTORS,EQ,325.05,326.0,332.65,319.5,328.55,328.9,325.62,93466949,30434833762.05,474065,5592345,5.98, 
09-Feb-2021,TATAMOTORS,EQ,335.95,337.0,338.5,322.2,325.85,325.05,328.65,105981081,34830328895.75,596440,11770233,11.11, 
08-Feb-2021,TATAMOTORS,EQ,315.9,318.75,339.25,318.0,336.55,335.95,328.1,102123614,33506955689.95,597813,13791043,13.5, 
05-Feb-2021,TATAMOTORS,EQ,326.15,327.6,330.0,312.6,318.45,315.9,319.24,103512235,33045500229.25,620367,13161252,12.71, 
04-Feb-2021,TATAMOTORS,EQ,331.0,329.0,334.5,322.45,326.1,326.15,328.68,121033002,39781597113.25,693061,10773872,8.9, 
03-Feb-2021,TATAMOTORS,EQ,322.0,339.2,341.9,326.2,331.2,331.0,334.33,224190114,74954516287.1,1057040,22289570,9.94, 
02-Feb-2021,TATAMOTORS,EQ,279.6,293.6,328.85,290.4,326.95,322.0,308.75,251965965,77794818724.65,1201928,30359979,12.05, 
01-Feb-2021,TATAMOTORS,EQ,262.7,269.75,282.0,255.35,280.3,279.6,269.6,165655500,44660633817.45,797774,12678691,7.65, 
29-Jan-2021,TATAMOTORS,EQ,266.8,273.0,278.8,260.6,262.35,262.7,270.74,138442348,37481389731.1,588270,14916676,10.77, 
28-Jan-2021,TATAMOTORS,EQ,267.5,260.05,273.4,259.05,266.0,266.8,266.8,129156876,34459498740.45,543019,10168460,7.87, 
27-Jan-2021,TATAMOTORS,EQ,279.15,274.9,275.0,265.7,266.75,267.5,269.62,126586833,34130526615.4,577227,12576368,9.93, 
25-Jan-2021,TATAMOTORS,EQ,289.35,296.9,299.5,277.35,278.7,279.15,284.75,164346913,46797325645.85,726552,9512206,5.79, 
22-Jan-2021,TATAMOTORS,EQ,290.6,295.95,306.9,278.35,290.85,289.35,296.37,316008609,93656707364.2,1318669,23030772,7.29, 
21-Jan-2021,TATAMOTORS,EQ,274.9,281.0,299.0,280.0,292.45,290.6,291.38,283614463,82638647239.0,1124524,30509002,10.76, 
20-Jan-2021,TATAMOTORS,EQ,258.65,260.0,277.5,258.85,274.4,274.9,271.49,205145151,55695362793.25,828086,11869707,5.79, 
19-Jan-2021,TATAMOTORS,EQ,245.95,251.5,261.7,251.3,258.75,258.65,256.26,136861059,35072393058.9,522685,9668841,7.06, 
18-Jan-2021,TATAMOTORS,EQ,260.3,261.65,262.45,241.15,244.5,245.95,249.46,173383224,43251333303.5,651158,13485876,7.78, 
15-Jan-2021,TATAMOTORS,EQ,245.1,246.0,264.65,242.6,261.6,260.3,255.48,250038029,63879688196.45,907714,15930209,6.37, 
14-Jan-2021,TATAMOTORS,EQ,242.6,242.85,249.8,238.6,245.25,245.1,244.21,86819519,21202397636.6,379083,9427551,10.86, 
13-Jan-2021,TATAMOTORS,EQ,237.8,242.9,248.8,238.4,242.85,242.6,243.45,164649387,40084035851.5,612651,13997353,8.5, 
12-Jan-2021,TATAMOTORS,EQ,220.65,227.0,252.4,224.1,237.25,237.8,238.18,390577839,93029495460.45,1303825,23171897,5.93, 
11-Jan-2021,TATAMOTORS,EQ,198.15,199.9,225.4,199.65,223.2,220.65,211.45,182483100,38585523226.8,635889,25583098,14.02, 
08-Jan-2021,TATAMOTORS,EQ,196.75,198.75,201.5,197.1,197.85,198.15,199.44,53991568,10768126835.9,191216,7076664,13.11, 
07-Jan-2021,TATAMOTORS,EQ,195.4,197.0,200.35,195.1,196.5,196.75,198.02,66024848,13073913349.5,232249,7982287,12.09, 
06-Jan-2021,TATAMOTORS,EQ,193.2,194.45,197.6,190.65,194.9,195.4,194.82,75621947,14732365582.35,302100,14274504,18.88, 
05-Jan-2021,TATAMOTORS,EQ,191.3,187.1,193.9,185.05,193.0,193.2,188.96,75752593,14313931037.85,299902,14548984,19.21, 
04-Jan-2021,TATAMOTORS,EQ,186.5,191.8,193.0,188.75,191.15,191.3,191.13,63980597,12228765285.55,253278,9524998,14.89, 
01-Jan-2021,TATAMOTORS,EQ,183.85,184.95,187.0,184.5,186.55,186.5,185.68,27334421,5075365028.55,110094,4960812,18.15, 
31-Dec-2020,TATAMOTORS,EQ,184.15,184.85,187.5,182.8,183.5,183.85,185.33,48978310,9077220422.9,182333,6501442,13.27, 
30-Dec-2020,TATAMOTORS,EQ,183.45,183.1,185.4,180.4,184.85,184.15,182.49,38576159,7039750093.5,140846,3253674,8.43, 
29-Dec-2020,TATAMOTORS,EQ,186.35,187.9,188.45,181.1,183.5,183.45,184.51,71318085,13159122342.4,288808,8522091,11.95, 
28-Dec-2020,TATAMOTORS,EQ,175.95,179.85,187.4,179.0,186.0,186.35,184.4,98012135,18073634113.15,356065,13615699,13.89, 
24-Dec-2020,TATAMOTORS,EQ,169.2,172.0,178.0,172.0,175.8,175.95,175.59,73831319,12963747737.15,254698,7951187,10.77, 
23-Dec-2020,TATAMOTORS,EQ,164.95,165.0,169.7,163.4,169.5,169.2,166.94,56930071,9503742280.2,197114,6675502,11.73, 
22-Dec-2020,TATAMOTORS,EQ,164.55,164.55,169.2,156.7,165.05,164.95,161.45,110009846,17761321437.5,407075,15828455,14.39, 
