Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,TATASTEEL,EQ,697.75,696.0,696.0,655.95,669.4,670.7,675.46,22392386,15125221823.4,234654,3391932,15.15, 
18-Feb-2021,TATASTEEL,EQ,696.8,700.0,711.0,694.0,695.95,697.75,703.63,14856147,10453237241.55,162453,1647955,11.09, 
17-Feb-2021,TATASTEEL,EQ,699.2,697.65,703.5,687.5,695.4,696.8,695.72,15957483,11101975793.9,164188,1995610,12.51, 
16-Feb-2021,TATASTEEL,EQ,672.15,672.15,708.6,668.3,697.65,699.2,699.14,33661838,23534500614.35,358185,4146585,12.32, 
15-Feb-2021,TATASTEEL,EQ,680.5,687.1,688.0,670.0,670.5,672.15,678.28,13171672,8934100604.35,155303,1629945,12.37, 
12-Feb-2021,TATASTEEL,EQ,694.7,695.0,697.9,678.5,679.8,680.5,687.24,14705479,10106213808.7,173303,1936849,13.17, 
11-Feb-2021,TATASTEEL,EQ,690.25,687.6,704.6,682.85,693.45,694.7,693.98,16340705,11340162734.3,183590,1323035,8.1, 
10-Feb-2021,TATASTEEL,EQ,699.2,710.0,724.5,680.05,691.65,690.25,697.91,57397919,40058574746.75,586586,4747972,8.27, 
09-Feb-2021,TATASTEEL,EQ,702.95,706.5,716.45,691.6,701.55,699.2,706.55,29337028,20728056511.0,313624,5427444,18.5, 
08-Feb-2021,TATASTEEL,EQ,685.05,694.0,704.9,682.7,703.5,702.95,694.87,21462169,14913385592.9,245226,2397130,11.17, 
05-Feb-2021,TATASTEEL,EQ,655.95,656.9,690.6,651.4,688.65,685.05,671.25,29100888,19533828165.75,331556,3589299,12.33, 
04-Feb-2021,TATASTEEL,EQ,653.15,654.0,663.5,638.6,658.0,655.95,654.43,14764995,9662636397.35,150126,2153755,14.59, 
03-Feb-2021,TATASTEEL,EQ,641.65,644.9,664.3,637.25,651.45,653.15,652.43,14846381,9686252654.0,174344,1760748,11.86, 
02-Feb-2021,TATASTEEL,EQ,636.1,643.0,648.0,624.1,642.5,641.65,638.27,18048957,11520140268.85,203280,2613414,14.48, 
01-Feb-2021,TATASTEEL,EQ,601.0,604.9,640.0,597.45,637.8,636.1,617.62,21084694,13022325499.3,245588,3493105,16.57, 
29-Jan-2021,TATASTEEL,EQ,623.7,630.05,633.8,596.0,602.9,601.0,609.77,26826575,16357917554.45,290798,5256720,19.6, 
28-Jan-2021,TATASTEEL,EQ,626.0,618.0,630.6,612.6,623.9,623.7,622.48,17091752,10639282318.45,188317,2962321,17.33, 
27-Jan-2021,TATASTEEL,EQ,651.95,650.9,651.15,623.8,624.05,626.0,635.87,14918084,9486023640.0,196801,3017582,20.23, 
25-Jan-2021,TATASTEEL,EQ,647.0,651.0,661.85,631.0,651.15,651.95,650.01,16348473,10626667746.2,168973,1703958,10.42, 
22-Jan-2021,TATASTEEL,EQ,666.7,670.0,675.8,633.65,646.85,647.0,652.42,23715665,15472468751.5,280136,4155373,17.52, 
21-Jan-2021,TATASTEEL,EQ,690.15,691.0,694.75,661.6,669.8,666.7,678.2,16117867,10931160261.75,208993,2599120,16.13, 
20-Jan-2021,TATASTEEL,EQ,681.1,690.15,699.5,682.6,687.5,690.15,690.58,23313150,16099594807.05,229129,2962126,12.71, 
19-Jan-2021,TATASTEEL,EQ,666.7,672.0,683.95,647.0,682.35,681.1,669.37,31245118,20914543317.35,296952,8142741,26.06, 
18-Jan-2021,TATASTEEL,EQ,705.9,708.0,708.75,659.5,665.0,666.7,675.22,25045226,16910913557.45,283335,3541651,14.14, 
15-Jan-2021,TATASTEEL,EQ,706.35,712.0,721.5,697.65,707.0,705.9,711.02,20688437,14709952194.75,216787,2305249,11.14, 
14-Jan-2021,TATASTEEL,EQ,709.15,710.0,714.45,697.1,707.0,706.35,704.43,11540858,8129743383.7,131859,1743645,15.11, 
13-Jan-2021,TATASTEEL,EQ,694.9,701.45,714.55,693.0,709.9,709.15,705.31,19353871,13650428133.55,200667,2495506,12.89, 
12-Jan-2021,TATASTEEL,EQ,695.65,695.0,724.5,691.1,696.55,694.9,707.89,24525484,17361337025.5,274251,3208844,13.08, 
11-Jan-2021,TATASTEEL,EQ,713.15,712.0,712.0,688.2,695.0,695.65,695.6,17024509,11842214437.5,215060,3118707,18.32, 
08-Jan-2021,TATASTEEL,EQ,722.8,727.0,727.25,703.1,713.0,713.15,716.26,19329313,13844858404.6,188934,3996244,20.67, 
07-Jan-2021,TATASTEEL,EQ,683.8,693.0,731.5,691.7,719.9,722.8,719.13,38232194,27493977739.9,376960,5148556,13.47, 
06-Jan-2021,TATASTEEL,EQ,680.55,684.0,696.65,675.0,684.15,683.8,685.3,19610522,13439123541.6,193951,3135082,15.99, 
05-Jan-2021,TATASTEEL,EQ,693.0,687.0,693.85,675.1,681.0,680.55,683.0,21545254,14715494860.6,220898,2994766,13.9, 
