Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,TCS,EQ,3057.35,3058.0,3087.15,3016.15,3078.0,3071.85,3047.73,3725028,11352887527.85,130797,1878814,50.44, 
18-Feb-2021,TCS,EQ,3073.1,3065.0,3097.9,3031.0,3055.0,3057.35,3057.94,4189909,12812510327.0,176370,2042317,48.74, 
17-Feb-2021,TCS,EQ,3108.8,3105.1,3132.85,3045.55,3073.45,3073.1,3076.93,3678426,11318262125.1,204277,1516981,41.24, 
16-Feb-2021,TCS,EQ,3139.85,3150.0,3167.65,3100.0,3113.0,3108.8,3122.98,3435770,10729849665.9,171006,1651579,48.07, 
15-Feb-2021,TCS,EQ,3190.8,3209.0,3209.0,3131.55,3149.0,3139.85,3156.8,2630853,8305069201.35,143467,1214830,46.18, 
12-Feb-2021,TCS,EQ,3206.0,3184.2,3245.5,3182.0,3188.25,3190.8,3214.96,2777404,8929253698.3,113414,872187,31.4, 
11-Feb-2021,TCS,EQ,3213.3,3215.0,3219.3,3185.05,3204.5,3206.0,3201.77,1165882,3732884248.7,53910,466871,40.04, 
10-Feb-2021,TCS,EQ,3176.9,3185.0,3219.4,3157.3,3215.5,3213.3,3197.06,2127983,6803289931.0,115813,713331,33.52, 
09-Feb-2021,TCS,EQ,3214.1,3195.0,3245.8,3164.0,3176.0,3176.9,3212.7,2658751,8541775943.25,171299,1305574,49.1, 
08-Feb-2021,TCS,EQ,3157.95,3189.5,3226.0,3155.15,3219.0,3214.1,3191.08,2526592,8062547697.85,155790,1160977,45.95, 
05-Feb-2021,TCS,EQ,3188.45,3198.95,3205.85,3129.0,3160.5,3157.95,3154.91,2366135,7464932897.55,143150,992928,41.96, 
04-Feb-2021,TCS,EQ,3200.05,3216.05,3237.85,3176.0,3185.5,3188.45,3198.51,2057261,6580160004.75,105804,994481,48.34, 
03-Feb-2021,TCS,EQ,3203.45,3213.0,3236.0,3162.65,3200.0,3200.05,3209.5,2505866,8042581723.8,116096,916858,36.59, 
02-Feb-2021,TCS,EQ,3139.35,3174.0,3224.0,3150.0,3195.0,3203.45,3197.36,2881837,9214282428.1,114024,1461083,50.7, 
01-Feb-2021,TCS,EQ,3111.35,3100.0,3165.0,3044.1,3150.0,3139.35,3098.04,3985846,12348318212.8,280031,2125201,53.32, 
29-Jan-2021,TCS,EQ,3196.55,3210.05,3216.85,3100.0,3126.95,3111.35,3142.99,5445659,17115646045.4,185207,3601765,66.14, 
28-Jan-2021,TCS,EQ,3261.05,3230.0,3275.0,3183.8,3202.95,3196.55,3221.23,3083938,9934065466.35,154535,1689185,54.77, 
27-Jan-2021,TCS,EQ,3291.3,3300.0,3306.45,3227.0,3263.0,3261.05,3265.48,2786662,9099782354.05,175811,1396514,50.11, 
25-Jan-2021,TCS,EQ,3303.1,3308.95,3339.8,3278.65,3298.0,3291.3,3314.24,2272887,7532889906.35,122553,1208668,53.18, 
22-Jan-2021,TCS,EQ,3273.85,3241.9,3325.0,3241.9,3292.2,3303.1,3300.02,3052459,10073163825.5,120993,1419347,46.5, 
21-Jan-2021,TCS,EQ,3308.8,3305.0,3309.15,3262.1,3274.05,3273.85,3281.88,2778546,9118852661.7,134629,1222458,44.0, 
20-Jan-2021,TCS,EQ,3260.7,3270.0,3327.95,3267.1,3305.0,3308.8,3304.97,3453446,11413530807.3,169490,1498128,43.38, 
19-Jan-2021,TCS,EQ,3221.75,3233.0,3279.0,3232.0,3265.6,3260.7,3256.44,2975735,9690307983.35,135064,1409143,47.35, 
18-Jan-2021,TCS,EQ,3233.35,3250.0,3256.75,3187.4,3215.0,3221.75,3230.06,4160906,13439989256.75,195067,2204487,52.98, 
15-Jan-2021,TCS,EQ,3250.7,3235.0,3274.0,3210.0,3229.95,3233.35,3240.98,4131692,13390734930.65,193972,1959292,47.42, 
14-Jan-2021,TCS,EQ,3158.95,3155.0,3266.5,3120.4,3244.35,3250.7,3207.17,6931542,22230611264.15,276953,3067056,44.25, 
13-Jan-2021,TCS,EQ,3174.85,3175.0,3177.0,3126.25,3158.0,3158.95,3147.46,3572801,11245261941.15,189690,1857249,51.98, 
12-Jan-2021,TCS,EQ,3176.45,3176.45,3210.0,3150.0,3172.0,3174.85,3187.07,3611458,11509972776.65,142696,1656842,45.88, 
11-Jan-2021,TCS,EQ,3120.9,3230.0,3230.0,3146.55,3170.45,3176.45,3174.16,9508039,30180045841.35,294091,3153741,33.17, 
08-Jan-2021,TCS,EQ,3032.8,3090.0,3128.0,3060.0,3122.75,3120.9,3100.97,5879039,18230717038.75,214010,1754802,29.85, 
07-Jan-2021,TCS,EQ,3051.5,3075.0,3080.85,3000.25,3048.65,3032.8,3028.74,3717827,11260321904.2,167700,1490971,40.1, 
06-Jan-2021,TCS,EQ,3093.0,3100.0,3113.5,3037.2,3053.0,3051.5,3078.56,3726716,11472936907.35,172084,1054841,28.3, 
05-Jan-2021,TCS,EQ,3039.45,3039.6,3114.25,3039.6,3090.65,3093.0,3084.07,5801309,17891634394.8,202735,1554550,26.8, 
04-Jan-2021,TCS,EQ,2928.25,2950.0,3050.75,2940.95,3042.7,3039.45,2998.15,5113293,15330405223.95,207562,1182335,23.12, 
01-Jan-2021,TCS,EQ,2862.75,2880.0,2940.0,2879.0,2932.0,2928.25,2913.52,2681440,7812435140.3,88216,504010,18.8, 
31-Dec-2020,TCS,EQ,2909.3,2900.0,2905.0,2845.0,2864.95,2862.75,2874.36,4040956,11615170401.55,130170,2350220,58.16, 
30-Dec-2020,TCS,EQ,2930.5,2934.4,2947.7,2902.0,2910.0,2909.3,2918.0,2637968,7697596026.6,87612,1441442,54.64, 
29-Dec-2020,TCS,EQ,2929.4,2920.0,2952.0,2920.0,2935.0,2930.5,2937.59,1994151,5857996376.7,99597,926286,46.45, 
28-Dec-2020,TCS,EQ,2909.35,2910.0,2949.7,2902.0,2932.1,2929.4,2929.11,2108994,6177467465.1,106481,717415,34.02, 
24-Dec-2020,TCS,EQ,2908.75,2909.0,2921.35,2883.2,2908.95,2909.35,2902.86,1807144,5245886550.4,76405,569310,31.5, 
23-Dec-2020,TCS,EQ,2872.5,2876.05,2919.0,2865.45,2907.15,2908.75,2904.67,2790988,8106911741.25,125341,947547,33.95, 
22-Dec-2020,TCS,EQ,2820.15,2834.0,2883.65,2818.65,2870.65,2872.5,2848.13,2881737,8207569106.95,158517,1123581,38.99, 
21-Dec-2020,TCS,EQ,2861.0,2861.0,2886.5,2785.0,2810.0,2820.15,2853.21,2705195,7718476165.55,141821,887083,32.79, 
18-Dec-2020,TCS,EQ,2838.2,2868.0,2898.0,2846.2,2851.95,2861.0,2873.74,6076692,17462837839.65,178840,2436219,40.09, 
17-Dec-2020,TCS,EQ,2814.2,2811.0,2853.7,2805.0,2848.7,2838.2,2823.94,2863460,8086236716.7,121983,1423130,49.7, 
16-Dec-2020,TCS,EQ,2761.55,2779.0,2819.8,2760.45,2810.0,2814.2,2792.39,2565149,7162892179.05,109504,1358603,52.96, 
15-Dec-2020,TCS,EQ,2797.7,2786.0,2794.7,2755.0,2763.95,2761.55,2768.65,2365509,6549273569.6,152067,1252080,52.93, 
14-Dec-2020,TCS,EQ,2783.6,2802.0,2804.0,2756.25,2796.55,2797.7,2787.4,2483658,6922952988.1,112781,1487586,59.89, 
11-Dec-2020,TCS,EQ,2784.3,2792.7,2807.7,2764.55,2782.0,2783.6,2789.22,1795408,5007781485.0,90719,810401,45.14, 
10-Dec-2020,TCS,EQ,2810.8,2818.0,2827.3,2780.25,2784.8,2784.3,2794.17,2127801,5945438936.55,106653,1009035,47.42, 
09-Dec-2020,TCS,EQ,2797.3,2815.0,2840.0,2793.15,2812.05,2810.8,2817.31,3659996,10311351385.55,147222,1167517,31.9, 
08-Dec-2020,TCS,EQ,2737.7,2740.0,2805.55,2732.45,2795.0,2797.3,2771.25,4277818,11854914854.55,273215,2085610,48.75, 
07-Dec-2020,TCS,EQ,2727.55,2715.0,2744.0,2706.15,2741.0,2737.7,2721.02,1996400,5432246145.9,111040,992587,49.72, 
04-Dec-2020,TCS,EQ,2709.45,2710.8,2738.85,2699.0,2723.0,2727.55,2722.95,2686527,7315291484.55,121585,1180784,43.95, 
03-Dec-2020,TCS,EQ,2749.55,2773.9,2773.9,2700.8,2710.0,2709.45,2728.72,2852548,7783810980.4,121400,1596838,55.98, 
02-Dec-2020,TCS,EQ,2726.8,2719.0,2754.7,2702.45,2745.5,2749.55,2727.49,2509032,6843351199.5,106756,1153028,45.96, 
01-Dec-2020,TCS,EQ,2679.65,2679.0,2735.9,2624.45,2729.0,2726.8,2695.43,3605017,9717083002.65,153842,1876311,52.05, 
27-Nov-2020,TCS,EQ,2720.6,2705.0,2717.7,2669.05,2678.0,2679.65,2684.61,6086808,16340691429.6,168842,3377042,55.48, 
26-Nov-2020,TCS,EQ,2701.3,2686.0,2730.95,2680.0,2730.0,2720.6,2703.16,2341099,6328369462.2,103635,1019732,43.56, 
25-Nov-2020,TCS,EQ,2722.05,2729.0,2732.95,2688.2,2700.0,2701.3,2707.81,3302249,8941871533.3,163422,1804711,54.65, 
24-Nov-2020,TCS,EQ,2724.25,2734.4,2743.0,2705.0,2726.0,2722.05,2724.87,3120516,8502992372.3,148092,1269435,40.68, 
23-Nov-2020,TCS,EQ,2660.25,2690.0,2730.0,2665.0,2727.25,2724.25,2706.23,3706418,10030430979.8,150378,1534732,41.41, 
20-Nov-2020,TCS,EQ,2636.9,2655.0,2676.0,2627.55,2657.8,2660.25,2657.32,2711471,7205237904.7,118196,1060178,39.1, 
19-Nov-2020,TCS,EQ,2626.65,2637.0,2676.15,2630.85,2640.25,2636.9,2648.32,4167501,11036855515.7,178640,1916634,45.99, 
18-Nov-2020,TCS,EQ,2666.05,2661.0,2664.2,2607.05,2626.0,2626.65,2625.58,2893762,7597789756.35,136273,1405121,48.56, 
17-Nov-2020,TCS,EQ,2670.35,2695.0,2695.0,2650.05,2661.25,2666.05,2670.8,2827273,7551068267.15,134996,1460105,51.64, 
14-Nov-2020,TCS,EQ,2656.85,2677.95,2689.0,2660.05,2673.25,2670.35,2669.67,298819,797748788.0,20530,127612,42.71, 
13-Nov-2020,TCS,EQ,2671.05,2655.75,2664.9,2636.0,2661.2,2656.85,2650.87,2548093,6754656102.7,111018,1218667,47.83, 
12-Nov-2020,TCS,EQ,2687.8,2686.0,2713.0,2661.75,2674.75,2671.05,2679.78,2437505,6531986739.75,100997,1134593,46.55, 
11-Nov-2020,TCS,EQ,2649.6,2667.95,2692.8,2643.4,2687.5,2687.8,2669.85,3242441,8656831441.85,168899,1292728,39.87, 
