Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
11-Sep-2020,UNIPLY,EQ,4.95,5.15,5.15,4.95,5.0,4.95,5.0,437861,2190645.2,355,352205,80.44, 
10-Sep-2020,UNIPLY,EQ,4.85,4.95,5.3,4.85,4.95,4.95,5.02,829298,4166786.3,507,662028,79.83, 
09-Sep-2020,UNIPLY,EQ,4.95,4.95,4.95,4.75,4.9,4.85,4.82,358584,1729842.75,507,268241,74.81, 
08-Sep-2020,UNIPLY,EQ,5.0,5.0,5.0,4.85,4.95,4.95,4.93,190677,939786.05,331,125226,65.67, 
07-Sep-2020,UNIPLY,EQ,5.0,5.15,5.2,4.9,5.0,5.0,4.99,446793,2228775.45,469,337537,75.55, 
04-Sep-2020,UNIPLY,EQ,5.0,4.95,5.05,4.5,5.05,5.0,4.89,411964,2013114.55,540,268031,65.06, 
03-Sep-2020,UNIPLY,EQ,5.0,5.05,5.05,4.95,4.95,5.0,4.99,553184,2762794.85,512,432425,78.17, 
02-Sep-2020,UNIPLY,EQ,5.2,5.3,5.4,4.95,5.0,5.0,5.05,754472,3810831.55,797,666526,88.34, 
01-Sep-2020,UNIPLY,EQ,5.3,5.45,5.45,5.1,5.25,5.2,5.16,390825,2017822.5,574,299357,76.6, 
31-Aug-2020,UNIPLY,EQ,5.6,5.65,5.65,5.3,5.35,5.3,5.44,700280,3807328.6,813,523766,74.79, 
28-Aug-2020,UNIPLY,EQ,5.6,5.6,5.65,5.55,5.6,5.6,5.6,467267,2618242.05,482,367861,78.73, 
27-Aug-2020,UNIPLY,EQ,5.55,5.6,5.65,5.5,5.6,5.6,5.61,685889,3847125.4,554,537739,78.4, 
26-Aug-2020,UNIPLY,EQ,5.6,5.65,5.7,5.5,5.6,5.55,5.58,424878,2372566.7,424,280831,66.1, 
25-Aug-2020,UNIPLY,EQ,5.65,5.65,5.7,5.55,5.6,5.6,5.62,754590,4241215.0,502,538564,71.37, 
24-Aug-2020,UNIPLY,EQ,5.65,5.7,5.75,5.55,5.65,5.65,5.62,511743,2878012.6,631,395235,77.23, 
21-Aug-2020,UNIPLY,EQ,5.6,5.8,5.8,5.55,5.65,5.65,5.65,1035022,5852610.0,799,586992,56.71, 
20-Aug-2020,UNIPLY,EQ,5.7,5.7,5.7,5.5,5.65,5.6,5.61,422611,2370181.7,459,292098,69.12, 
19-Aug-2020,UNIPLY,EQ,5.7,5.7,5.75,5.6,5.65,5.7,5.69,437619,2489166.85,555,242271,55.36, 
18-Aug-2020,UNIPLY,EQ,5.7,5.75,5.8,5.6,5.7,5.7,5.7,272497,1552798.75,409,177604,65.18, 
17-Aug-2020,UNIPLY,EQ,5.6,5.7,5.9,5.6,5.7,5.7,5.7,629871,3590697.9,1176,428122,67.97, 
14-Aug-2020,UNIPLY,EQ,5.5,5.5,5.9,5.45,5.6,5.6,5.7,1448529,8261570.25,2126,771493,53.26, 
13-Aug-2020,UNIPLY,EQ,5.5,5.5,5.6,5.45,5.55,5.5,5.5,563863,3102270.9,449,434630,77.08, 
12-Aug-2020,UNIPLY,EQ,5.5,5.4,5.6,5.35,5.45,5.5,5.47,622783,3404008.5,708,426861,68.54, 
11-Aug-2020,UNIPLY,EQ,5.5,5.5,5.6,5.3,5.45,5.5,5.5,546018,3003859.9,468,417661,76.49, 
10-Aug-2020,UNIPLY,EQ,5.45,5.55,5.6,5.45,5.5,5.5,5.51,327175,1803372.85,377,241339,73.76, 
07-Aug-2020,UNIPLY,EQ,5.5,5.6,5.6,5.4,5.5,5.45,5.51,310458,1711008.95,382,190906,61.49, 
06-Aug-2020,UNIPLY,EQ,5.45,5.5,5.55,5.35,5.5,5.5,5.47,328114,1795793.3,353,213732,65.14, 
05-Aug-2020,UNIPLY,EQ,5.35,5.45,5.5,5.25,5.45,5.45,5.41,262025,1416470.35,341,176710,67.44, 
04-Aug-2020,UNIPLY,EQ,5.6,5.65,5.65,5.35,5.35,5.35,5.38,1279467,6878828.5,800,817178,63.87, 
03-Aug-2020,UNIPLY,EQ,5.4,5.65,5.65,5.45,5.6,5.6,5.55,511727,2837844.05,482,302690,59.15, 
31-Jul-2020,UNIPLY,EQ,5.25,5.25,5.5,5.15,5.4,5.4,5.39,616132,3322872.4,830,346071,56.17, 
30-Jul-2020,UNIPLY,EQ,5.45,5.6,5.6,5.2,5.2,5.25,5.28,578768,3057023.35,805,271674,46.94, 
29-Jul-2020,UNIPLY,EQ,5.6,5.6,5.6,5.35,5.45,5.45,5.46,587550,3209167.2,547,463258,78.85, 
28-Jul-2020,UNIPLY,EQ,5.8,5.8,5.9,5.55,5.55,5.6,5.61,442398,2483130.9,712,255714,57.8, 
27-Jul-2020,UNIPLY,EQ,5.95,6.0,6.0,5.75,5.85,5.8,5.85,426792,2496896.25,399,372203,87.21, 
24-Jul-2020,UNIPLY,EQ,6.05,6.1,6.1,5.85,6.0,5.95,5.91,324575,1919811.95,424,243116,74.9, 
23-Jul-2020,UNIPLY,EQ,6.05,6.25,6.25,6.0,6.05,6.05,6.08,153148,930613.3,275,87040,56.83, 
22-Jul-2020,UNIPLY,EQ,6.1,6.3,6.35,6.05,6.15,6.05,6.14,331108,2032790.7,438,244857,73.95, 
21-Jul-2020,UNIPLY,EQ,5.9,5.9,6.15,5.85,6.15,6.1,5.96,484415,2887636.0,590,330386,68.2, 
20-Jul-2020,UNIPLY,EQ,5.9,5.75,5.95,5.75,5.95,5.9,5.9,174492,1029217.25,349,133231,76.35, 
17-Jul-2020,UNIPLY,EQ,5.9,5.8,6.0,5.7,5.9,5.9,5.78,453484,2619482.6,630,317504,70.01, 
16-Jul-2020,UNIPLY,EQ,6.0,6.1,6.2,5.85,6.0,5.9,5.92,241472,1430256.1,457,144259,59.74, 
15-Jul-2020,UNIPLY,EQ,6.0,6.05,6.2,5.9,6.0,6.0,6.06,367790,2227710.25,481,274699,74.69, 
14-Jul-2020,UNIPLY,EQ,6.15,6.05,6.2,5.9,6.05,6.0,5.98,329530,1971017.6,686,241223,73.2, 
13-Jul-2020,UNIPLY,EQ,6.15,6.25,6.35,6.0,6.25,6.15,6.16,308656,1900887.55,513,243110,78.76, 
10-Jul-2020,UNIPLY,EQ,6.35,6.35,6.35,6.05,6.15,6.15,6.13,1009767,6190298.75,1145,601073,59.53, 
09-Jul-2020,UNIPLY,EQ,6.5,6.75,6.75,6.2,6.3,6.35,6.36,1035736,6589241.6,1108,546611,52.78, 
08-Jul-2020,UNIPLY,EQ,6.45,6.2,6.75,6.15,6.45,6.5,6.48,1759519,11393613.8,1974,956805,54.38, 
07-Jul-2020,UNIPLY,EQ,6.75,6.45,6.45,6.45,6.45,6.45,6.45,228053,1470941.85,369,228052,100.0, 
06-Jul-2020,UNIPLY,EQ,7.1,6.75,6.75,6.75,6.75,6.75,6.75,170043,1147790.25,463,170032,99.99, 
03-Jul-2020,UNIPLY,EQ,7.45,7.75,7.8,7.1,7.1,7.1,7.26,615756,4468218.05,819,503926,81.84, 
02-Jul-2020,UNIPLY,EQ,7.1,7.45,7.45,7.25,7.45,7.45,7.43,1749817,13009735.5,1438,1465249,83.74, 
01-Jul-2020,UNIPLY,EQ,6.8,7.1,7.1,6.9,7.1,7.1,7.1,1210552,8589773.6,947,911792,75.32, 
30-Jun-2020,UNIPLY,EQ,6.5,6.8,6.8,6.6,6.8,6.8,6.79,1470029,9976010.55,957,1067523,72.62, 
29-Jun-2020,UNIPLY,EQ,6.2,6.3,6.5,6.1,6.5,6.5,6.36,988682,6288707.2,750,764503,77.33, 
26-Jun-2020,UNIPLY,EQ,6.25,6.25,6.4,6.0,6.25,6.2,6.24,468368,2923590.65,590,310709,66.34, 
25-Jun-2020,UNIPLY,EQ,6.15,6.1,6.4,6.0,6.25,6.25,6.23,419258,2611640.95,502,284060,67.75, 
