Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
19-Feb-2021,UPL,EQ,541.05,542.95,565.0,539.5,554.9,552.8,556.12,16693854,9283796253.85,212933,3278117,19.64, 
18-Feb-2021,UPL,EQ,539.0,536.35,556.6,532.0,541.3,541.05,546.24,6399026,3495403471.65,91673,1353669,21.15, 
17-Feb-2021,UPL,EQ,538.95,525.3,542.6,525.3,537.3,539.0,538.0,2934589,1578802353.3,41994,692691,23.6, 
16-Feb-2021,UPL,EQ,537.45,542.65,545.65,537.1,538.65,538.95,540.84,2976504,1609806430.9,42862,491591,16.52, 
15-Feb-2021,UPL,EQ,535.8,540.0,543.95,534.55,537.25,537.45,538.21,2569470,1382904007.05,42459,475331,18.5, 
12-Feb-2021,UPL,EQ,543.55,545.8,547.3,531.5,536.0,535.8,537.88,3043562,1637082098.75,49098,575588,18.91, 
11-Feb-2021,UPL,EQ,534.4,530.2,545.6,530.2,543.25,543.55,539.39,5684777,3066286013.95,81516,927925,16.32, 
10-Feb-2021,UPL,EQ,538.6,543.0,546.45,532.45,534.8,534.4,537.57,4446858,2390490881.4,60983,1379373,31.02, 
09-Feb-2021,UPL,EQ,538.3,539.5,556.0,535.55,540.5,538.6,547.96,9171011,5025332744.0,127221,1438599,15.69, 
08-Feb-2021,UPL,EQ,536.5,538.0,546.0,528.15,538.2,538.3,537.8,8511429,4577438479.65,99340,2879931,33.84, 
05-Feb-2021,UPL,EQ,548.05,553.85,553.85,535.0,537.7,536.5,539.84,6377789,3442974088.95,76497,2662734,41.75, 
04-Feb-2021,UPL,EQ,558.25,558.7,568.55,544.3,548.9,548.05,554.14,6751111,3741081763.15,90791,2049688,30.36, 
03-Feb-2021,UPL,EQ,566.3,562.1,579.95,555.0,557.75,558.25,568.6,7268499,4132841435.25,91011,1638095,22.54, 
02-Feb-2021,UPL,EQ,534.1,541.0,568.5,541.0,564.75,566.3,559.07,13416792,7500906742.8,153204,4237232,31.58, 
01-Feb-2021,UPL,EQ,560.65,548.9,548.9,510.0,535.8,534.1,523.87,20250736,10608706089.1,278573,4466143,22.05, 
29-Jan-2021,UPL,EQ,565.45,569.85,576.0,557.0,562.3,560.65,566.13,9298672,5264273762.85,117038,2182936,23.48, 
28-Jan-2021,UPL,EQ,574.25,569.0,570.7,557.2,563.0,565.45,563.75,8146430,4592541758.5,90752,2306182,28.31, 
27-Jan-2021,UPL,EQ,588.15,588.15,601.15,569.0,575.0,574.25,581.75,15463821,8996126103.8,189835,3321789,21.48, 
25-Jan-2021,UPL,EQ,566.95,571.7,593.0,567.0,589.6,588.15,584.75,13563025,7930948274.1,164559,2943169,21.7, 
22-Jan-2021,UPL,EQ,584.55,585.4,592.5,564.0,568.5,566.95,577.34,10118222,5841691912.45,114136,3615832,35.74, 
21-Jan-2021,UPL,EQ,576.35,576.35,594.0,576.35,587.0,584.55,587.84,11759051,6912474227.35,146894,2195124,18.67, 
20-Jan-2021,UPL,EQ,564.0,563.0,581.85,556.5,575.5,576.35,570.72,10900743,6221278625.9,138443,1524474,13.99, 
19-Jan-2021,UPL,EQ,561.3,561.0,570.9,553.65,563.05,564.0,563.55,15094630,8506649709.7,174029,2020281,13.38, 
18-Jan-2021,UPL,EQ,522.55,524.95,568.0,524.0,555.0,561.3,547.19,37175310,20341864817.3,366399,6976048,18.77, 
15-Jan-2021,UPL,EQ,509.4,511.95,527.9,511.4,522.35,522.55,521.28,19836600,10340501092.45,207730,5430512,27.38, 
14-Jan-2021,UPL,EQ,491.7,494.1,515.0,493.0,509.9,509.4,509.15,15231242,7754945984.05,209740,2645466,17.37, 
13-Jan-2021,UPL,EQ,501.5,502.0,505.8,484.4,491.0,491.7,494.5,4694033,2321198831.35,63284,1306662,27.84, 
12-Jan-2021,UPL,EQ,497.45,494.75,505.5,491.2,501.1,501.5,499.44,5008167,2501270774.0,66137,1068041,21.33, 
11-Jan-2021,UPL,EQ,503.65,506.0,508.9,493.3,497.9,497.45,500.23,5666689,2834620137.55,73820,1052185,18.57, 
08-Jan-2021,UPL,EQ,482.5,485.0,506.0,484.8,502.3,503.65,501.32,16114942,8078800123.1,180917,2858423,17.74, 
07-Jan-2021,UPL,EQ,472.4,476.0,486.5,474.45,483.0,482.5,481.19,7025121,3380428390.6,85489,2112485,30.07, 
06-Jan-2021,UPL,EQ,471.25,471.95,481.9,467.15,471.65,472.4,474.87,5947103,2824097914.75,78315,1249007,21.0, 
05-Jan-2021,UPL,EQ,473.15,469.0,472.5,466.35,471.0,471.25,469.47,3226777,1514867266.8,42085,826434,25.61, 
04-Jan-2021,UPL,EQ,469.3,473.4,475.0,466.65,473.2,473.15,471.73,3615832,1705707885.6,43512,1310172,36.23, 
01-Jan-2021,UPL,EQ,466.35,469.9,476.6,466.85,469.4,469.3,472.65,7090451,3351267025.15,81162,968995,13.67, 
