,symbol,series,openPrice,highPrice,lowPrice,ltp,previousPrice,netPrice,tradedQuantity,turnoverInLakhs,lastCorpAnnouncementDate,lastCorpAnnouncement
0,UPL,EQ,542.95,565.0,539.5,554.9,541.05,2.56,16693854.0,92837.86,19-Aug-2020,Dividend - Rs 6 Per Sh
1,DRREDDY,EQ,4602.0,4728.0,4530.0,4726.0,4616.95,2.36,1278534.0,59024.42,13-Jul-2020,Annual General Meeting/Dividend - Rs 25 Per Share
2,INDUSINDBK,EQ,1035.0,1074.55,1027.8,1069.8,1046.05,2.27,14557527.0,153680.9,08-Aug-2019,Annual General Meeting/Dividend - Rs 7.50 Per Share
3,HINDUNILVR,EQ,2152.9,2194.0,2150.0,2185.0,2146.85,1.78,3364030.0,73188.85,28-Oct-2020,Interim Dividend - Rs 14 Per Share
4,GAIL,EQ,143.95,149.45,143.5,145.15,143.1,1.43,69653864.0,102342.42,27-Jan-2021,Interim Dividend - Rs 2.50 Per Share
5,NTPC,EQ,103.65,106.75,101.4,104.6,103.4,1.16,61069583.0,63683.36,11-Feb-2021,Interim Dividend - Rs 3 Per Share
6,TCS,EQ,3058.0,3087.15,3016.15,3078.0,3057.35,0.68,3725028.0,113528.8,14-Jan-2021,Interim Dividend - Rs 6 Per Share
7,RELIANCE,EQ,2057.0,2104.95,2053.3,2080.0,2067.7,0.59,10800704.0,225532.74,02-Jul-2020,Dividend - Rs 6.50  Per Share
8,NESTLEIND,EQ,16430.0,16464.7,16212.95,16430.05,16364.7,0.4,130275.0,21294.5,29-Oct-2020,Interim Dividned - Rs 135 Per Share
9,BAJAJFINSV,EQ,10150.0,10427.65,10140.0,10237.95,10198.95,0.38,623343.0,63879.19,03-Mar-2020,Interim Dividend - Rs 5 Per Share
