,symbol,series,openPrice,highPrice,lowPrice,ltp,previousPrice,netPrice,tradedQuantity,turnoverInLakhs,lastCorpAnnouncementDate,lastCorpAnnouncement
0,ONGC,EQ,115.5,118.4,110.05,111.45,119.05,-6.38,55154985.0,63064.21,17-Feb-2021,Interim Dividend - Rs 1.75 Per Share
1,HEROMOTOCO,EQ,3405.0,3423.65,3199.8,3218.0,3434.4,-6.30,1880371.0,62094.55,15-Feb-2021,Interim Dividend - Rs 65 Per Share Special Dividend - Rs 5 Per Share
2,M&M,EQ,848.05,856.65,798.5,804.9,859.0,-6.30,12073749.0,98611.14,16-Jul-2020,Annual General Meeting/Dividend - Rs 2.35 Per Share
3,JSWSTEEL,EQ,412.05,421.3,392.05,395.55,421.75,-6.21,11433748.0,46199.2,06-Jul-2020,Dividend - Rs 2 Per Share
4,GAIL,EQ,149.95,149.95,140.4,141.45,150.8,-6.20,37458344.0,54235.94,27-Jan-2021,Interim Dividend - Rs 2.50 Per Share
5,BAJAJFINSV,EQ,9950.0,10114.7,9600.0,9640.25,10264.45,-6.08,846505.0,82945.05,03-Mar-2020,Interim Dividend - Rs 5 Per Share
6,POWERGRID,EQ,221.5,227.25,211.2,213.85,227.55,-6.02,21414774.0,46656.37,08-Mar-2021,Interim Dividend
7,AXISBANK,EQ,746.0,758.7,718.65,725.35,770.65,-5.88,31306177.0,230247.54,04-Jul-2019,Annual General Meeting/ Dividend - Re 1 Per Share
8,GRASIM,EQ,1255.0,1270.0,1190.85,1200.0,1270.45,-5.55,2798547.0,34224.83,26-Aug-2020,Dividend - Rs 4 Per Share
9,KOTAKBANK,EQ,1869.0,1869.0,1773.0,1791.4,1895.5,-5.49,8400096.0,151472.21,12-Jul-2019,Annual General Meeting/Dividend Rs 0.80 Per Share
