,symbol,series,openPrice,highPrice,lowPrice,ltp,previousPrice,netPrice,tradedQuantity,turnoverInLakhs,lastCorpAnnouncementDate,lastCorpAnnouncement
0,ADANIPORTS,EQ,592.3,621.65,586.1,611.75,591.85,3.36,24953701.0,151346.69,17-Jun-2020,Annual General Meeting
1,ICICIBANK,EQ,629.9,649.9,629.4,647.05,630.65,2.6,19049709.0,122221.03,22-Jul-2019,Annual General Meeting/Dividend - Re 1 Per Share
2,INFY,EQ,1305.0,1323.75,1301.55,1312.0,1292.65,1.5,5797875.0,76085.51,23-Oct-2020,Interim Dividend - Rs 12 Per Share
3,AXISBANK,EQ,735.5,754.7,734.55,749.9,740.1,1.32,15668442.0,117029.16,04-Jul-2019,Annual General Meeting/ Dividend - Re 1 Per Share
4,HDFCBANK,EQ,1573.9,1592.5,1573.0,1589.55,1572.35,1.09,4955053.0,78505.38,19-Sep-2019,Face Value Split (Sub-Division) - From Rs 2 Per Share To Rs 1 Per Share
5,WIPRO,EQ,440.0,449.2,439.6,441.7,437.0,1.08,19280834.0,85720.66,22-Jan-2021,Interim Dividend - Re 1 Per Share
6,HDFC,EQ,2746.0,2809.0,2735.6,2789.0,2760.6,1.03,2921180.0,81256.42,09-Jul-2020,Annual General Meeting/Dividend - Rs 21 Per Share
7,BAJAJFINSV,EQ,10250.0,10331.15,10168.0,10300.0,10216.65,0.82,380285.0,38929.47,03-Mar-2020,Interim Dividend - Rs 5 Per Share
8,SBIN,EQ,391.0,399.35,385.55,392.95,390.15,0.72,53589755.0,210248.69,15-Jun-2018,Annual General Meeting/ Change In Registrar And Transfer Agent
9,GRASIM,EQ,1244.0,1254.8,1221.05,1239.75,1235.45,0.35,3421387.0,42522.37,26-Aug-2020,Dividend - Rs 4 Per Share
