,symbol,series,openPrice,highPrice,lowPrice,ltp,previousPrice,netPrice,tradedQuantity,turnoverInLakhs,lastCorpAnnouncementDate,lastCorpAnnouncement
0,ITC,EQ,225.75,225.75,215.8,217.6,226.45,-3.91,110568108.0,241834.57,22-Feb-2021,Interim Dividend - Rs 5 Per Share
1,GAIL,EQ,136.95,137.25,132.35,132.7,136.45,-2.75,13980720.0,18757.93,27-Jan-2021,Interim Dividend - Rs 2.50 Per Share
2,ONGC,EQ,98.9,99.4,96.55,97.0,99.45,-2.46,18187705.0,17742.11,17-Feb-2021,Interim Dividend
3,SUNPHARMA,EQ,654.4,654.4,622.35,628.5,643.65,-2.35,15471776.0,98005.97,09-Feb-2021,Interim Dividend - Rs 5.50 Per Share
4,COALINDIA,EQ,136.5,137.0,132.75,133.95,137.15,-2.33,16453706.0,22071.0,19-Nov-2020,Interim Dividend - Rs 7.50 Per Share
5,TATASTEEL,EQ,695.0,697.9,678.5,679.8,694.7,-2.14,14705479.0,101061.93,06-Aug-2020,Dividend - Rs 10 Per Share
6,BHARTIARTL,EQ,597.85,597.85,584.6,585.9,598.1,-2.04,15611939.0,92252.51,06-Aug-2020,Dividend - Rs 2 Per Share
7,TITAN,EQ,1536.7,1536.7,1491.0,1495.0,1524.7,-1.95,3284441.0,49595.39,03-Aug-2020,Annual General Meeting/Dividend - Rs 4 Per Share
8,EICHERMOT,EQ,2840.0,2844.95,2765.05,2774.0,2818.15,-1.57,1907486.0,53394.73,24-Aug-2020,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
9,HINDALCO,EQ,297.0,297.25,286.5,291.0,295.4,-1.49,15454237.0,45076.92,03-Sep-2020,Annual General Meeting/Dividend - Re 1 Per Share
